Ts=calc,Tid=meas,Volum=calc,Lys=meas,Flow=calc
nullflow=43,Lys0=43
0.005,0,0,43,0
0.01671791076660156,0.01671791076660156,0,43,0
0.00516510009765625,0.02188301086425781,0,43,0
0.009826898574829102,0.03170990943908691,0,43,0
0.006412029266357422,0.03812193870544434,0,43,0
0.007863998413085938,0.04598593711853027,0,43,0
0.006232023239135742,0.05221796035766602,0,43,0
0.005589962005615234,0.05780792236328125,0,43,0
0.006571054458618164,0.06437897682189941,0,43,0
0.006733894348144531,0.07111287117004395,0,42,-1
0.008020162582397461,0.07913303375244141,-0.008020162582397461,42,-1
0.006749868392944336,0.08588290214538574,-0.0147700309753418,42,-1
0.006242036819458008,0.09212493896484375,-0.0210120677947998,42,-1
0.006453037261962891,0.09857797622680664,-0.0274651050567627,42,-1
0.006272077560424805,0.1048500537872314,-0.0337371826171875,42,-1
0.006252050399780273,0.1111021041870117,-0.03998923301696777,42,-1
0.006004810333251953,0.1171069145202637,-0.04599404335021973,42,-1
0.007142066955566406,0.1242489814758301,-0.05313611030578613,41,-2
0.00360107421875,0.1278500556945801,-0.06033825874328613,41,-2
0.006302833557128906,0.134152889251709,-0.07294392585754395,41,-2
0.006385087966918945,0.1405379772186279,-0.08571410179138184,41,-2
0.006149053573608398,0.1466870307922363,-0.09801220893859863,41,-2
0.006918907165527344,0.1536059379577637,-0.1118500232696533,41,-2
0.005015134811401367,0.158621072769165,-0.1218802928924561,41,-2
0.006125926971435547,0.1647469997406006,-0.1341321468353271,41,-2
0.007191896438598633,0.1719388961791992,-0.1485159397125244,41,-2
0.005999088287353516,0.1779379844665527,-0.1605141162872314,41,-2
0.00793004035949707,0.1858680248260498,-0.1763741970062256,41,-2
0.008336067199707031,0.1942040920257568,-0.1930463314056396,40,-3
0.00556182861328125,0.1997659206390381,-0.2097318172454834,40,-3
0.006705045700073242,0.2064709663391113,-0.2298469543457031,40,-3
0.007455110549926758,0.2139260768890381,-0.2522122859954834,40,-3
0.002709865570068359,0.2166359424591064,-0.2603418827056885,39,-4
0.007040023803710938,0.2236759662628174,-0.2885019779205322,39,-4
0.005774974822998047,0.2294509410858154,-0.3116018772125244,39,-4
0.006569147109985352,0.2360200881958008,-0.3378784656524658,39,-4
0.00417780876159668,0.2401978969573975,-0.3545897006988525,39,-4
0.005797147750854492,0.245995044708252,-0.3777782917022705,39,-4
0.008553981781005859,0.2545490264892578,-0.4119942188262939,39,-4
0.005867958068847656,0.2604169845581055,-0.4354660511016846,38,-5
0.00595402717590332,0.2663710117340088,-0.4652361869812012,38,-5
0.005799055099487305,0.2721700668334961,-0.4942314624786377,38,-5
0.005975961685180664,0.2781460285186768,-0.524111270904541,37,-6
0.007360935211181641,0.2855069637298584,-0.5682768821716309,37,-6
0.006644964218139648,0.292151927947998,-0.6081466674804688,37,-6
0.007914066314697266,0.3000659942626953,-0.6556310653686523,37,-6
0.00592803955078125,0.3059940338134766,-0.6911993026733398,37,-6
0.005713939666748047,0.3117079734802246,-0.7254829406738281,37,-6
0.006688117980957031,0.3183960914611816,-0.7656116485595703,37,-6
0.006448984146118164,0.3248450756072998,-0.8043055534362793,37,-6
0.007215976715087891,0.3320610523223877,-0.8476014137268066,37,-6
0.008194923400878906,0.3402559757232666,-0.8967709541320801,37,-6
0.01162004470825195,0.3518760204315186,-0.9664912223815918,36,-7
0.006114006042480469,0.357990026473999,-1.009289264678955,36,-7
0.006852865219116211,0.3648428916931152,-1.057259321212769,36,-7
0.007217168807983398,0.3720600605010986,-1.107779502868652,36,-7
0.004235982894897461,0.3762960433959961,-1.137431383132935,36,-7
0.007494926452636719,0.3837909698486328,-1.189895868301392,35,-8
0.005716085433959961,0.3895070552825928,-1.235624551773071,36,-7
0.005304813385009766,0.3948118686676025,-1.27275824546814,35,-8
0.005915164947509766,0.4007270336151123,-1.320079565048218,35,-8
0.006263971328735352,0.4069910049438477,-1.370191335678101,35,-8
0.006990909576416016,0.4139819145202637,-1.426118612289429,35,-8
0.00551295280456543,0.4194948673248291,-1.470222234725952,35,-8
0.006118059158325195,0.4256129264831543,-1.519166707992554,35,-8
0.006323099136352539,0.4319360256195068,-1.569751501083374,35,-8
0.004742860794067383,0.4366788864135742,-1.607694387435913,34,-9
0.009311199188232422,0.4459900856018066,-1.691495180130005,34,-9
0.006722927093505859,0.4527130126953125,-1.752001523971558,34,-9
0.003458976745605469,0.456171989440918,-1.783132314682007,34,-9
0.006586074829101563,0.4627580642700195,-1.842406988143921,33,-10
0.005507946014404297,0.4682660102844238,-1.897486448287964,33,-10
0.006022930145263672,0.4742889404296875,-1.957715749740601,33,-10
0.00732111930847168,0.4816100597381592,-2.030926942825317,32,-11
0.004974842071533203,0.4865849018096924,-2.085650205612183,33,-10
0.00725102424621582,0.4938359260559082,-2.158160448074341,33,-10
0.01099610328674316,0.5048320293426514,-2.268121480941772,33,-10
0.009878873825073242,0.5147109031677246,-2.366910219192505,34,-9
0.007050991058349609,0.5217618942260742,-2.430369138717651,34,-9
0.005947113037109375,0.5277090072631836,-2.483893156051636,34,-9
0.00695490837097168,0.5346639156341553,-2.546487331390381,34,-9
0.007383108139038086,0.5420470237731934,-2.612935304641724,34,-9
0.004099845886230469,0.5461468696594238,-2.649833917617798,34,-9
0.007461071014404297,0.5536079406738281,-2.716983556747437,33,-10
0.007539033889770508,0.5611469745635986,-2.792373895645142,34,-9
0.004723072052001953,0.5658700466156006,-2.834881544113159,34,-9
0.008383989334106445,0.574254035949707,-2.910337448120117,34,-9
