u=calc,y2=calc,joyForward=meas,PowerA=calc,Lys=meas,Tid=meas,y1=calc,Ts=calc
nullflow=1
0,0,0,0,1,0,0,0.005
0,0,0,0,1,0.02193999290466309,0,0.02193999290466309
0,0,0,0,1,0.05432796478271484,0,0.032387971878051744
0,0,0,0,1,0.09066200256347656,0,0.036334037780761726
0,0,0,0,1,0.1274490356445313,0,0.03678703308105474
0,0,0,0,1,0.1652250289916992,0,0.037775993347167885
0,0,0,0,1,0.1986560821533203,0,0.03343105316162112
0,0,0,0,1,0.2312791347503662,0,0.0326230525970459
0,0,0,0,1,0.263153076171875,0,0.03187394142150879
0,0,0,0,1,0.2984461784362793,0,0.0352931022644043
0,0,0,0,1,0.3396081924438477,0,0.041162014007568415
0,0,0,0,1,0.3808281421661377,0,0.041219949722289984
0,0,0,0,1,0.4120490550994873,0,0.03122091293334961
0,0,0,0,1,0.4498801231384277,0,0.037831068038940374
0,0,0,0,1,0.4891030788421631,0,0.03922295570373541
0,0,0,0,1,0.5234010219573975,0,0.034297943115234375
0,0,0,0,1,0.5556871891021729,0,0.03228616714477539
0,0,0,0,1,0.5937280654907227,0,0.038040876388549805
0,0,0,0,1,0.6314899921417236,0,0.03776192665100098
0,0,0,0,1,0.6670131683349609,0,0.035523176193237305
0,0,0,0,1,0.6992850303649902,0,0.0322718620300293
0,0,0,0,1,0.7353291511535645,0,0.03604412078857422
0,0,0,0,1,0.7779941558837891,0,0.04266500473022461
0,0,0,0,1,0.813075065612793,0,0.035080909729003906
0,0,0,0,1,0.8504941463470459,0,0.03741908073425293
0,0,0,0,1,0.8823740482330322,0,0.03187990188598633
0,0,0,0,1,0.9206249713897705,0,0.03825092315673828
0,0,0,0,1,0.9524359703063965,0,0.03181099891662598
0,0,0,0,1,0.9826250076293945,0,0.030189037322998047
0,0,0,0,1,1.014405965805054,0,0.0317809581756594
0,0,0,0,1,1.048814058303833,0,0.034408092498779075
0,0,0,0,1,1.078688144683838,0,0.029874086380004883
0,0,0,0,1,1.111423015594482,0,0.03273487091064409
0,0,0,0,1,1.162599086761475,0,0.051176071166993076
0,0,0,0,1,1.197496175765991,0,0.034897089004515935
0,0,0,0,1,1.23117208480835,0,0.033675909042359065
0,0,0,0,1,1.263085126876831,0,0.031913042068481
0,0,0,0,1,1.295263051986694,0,0.03217792510986284
0,0,0,0,1,1.329851150512695,0,0.0345880985260012
0,0,0,0,1,1.36205005645752,0,0.032198905944824885
0,0,0,0,1,1.395697116851807,0,0.03364706039428711
0,0,0,0,1,1.423582077026367,0,0.02788496017455988
0,0,0,0,1,1.458441972732544,0,0.03485989570617698
0,0,0,0,1,1.492799997329712,0,0.03435802459716797
0,0,0,0,1,1.534366130828857,0,0.041566133499145064
0,0,0,0,1,1.567317962646484,0,0.03295183181762695
0,0,0,0,1,1.598572969436646,0,0.03125500679016202
0,0,0,0,1,1.635401964187622,0,0.03682899475097612
0,0,0,0,1,1.663433074951172,0,0.028031110763550027
0,0,0,0,1,1.700822114944458,0,0.03738903999328591
0,0,0,0,1,1.731393098831177,0,0.030570983886718972
0,0,0,0,1,1.76474404335022,0,0.03335094451904297
0,0,0,0,1,1.801305055618286,0,0.03656101226806596
0,0,0,0,1,1.839325189590454,0,0.03802013397216819
0,0,0,0,1,1.869835138320923,0,0.030509948730468972
0,0,0,0,1,1.913058996200562,0,0.043223857879638894
0,0,0,0,1,1.955749988555908,0,0.042690992355346014
0,0,0,0,1,1.985460996627808,0,0.02971100807190008
0,0,0,0,1,2.021288156509399,0,0.03582715988159091
0,0,0,0,1,2.057157039642334,0,0.035868883132935014
0,0,0,0,1,2.087527990341187,0,0.030370950698852983
0,0,0,0,1,2.117910146713257,0,0.03038215637206987
0,0,0,0,1,2.151072025299072,0,0.033161878585814986
0,0,0,0,1,2.184538125991821,0,0.03346610069274902
0,0,0,0,1,2.225522994995117,0,0.04098486900329634
0,0,0,0,1,2.25962495803833,0,0.03410196304321289
0,0,0,0,1,2.295364141464233,0,0.035739183425902876
0,0,0,0,1,2.338675975799561,0,0.04331183433532804
0,0,0,0,1,2.37148118019104,0,0.03280520439147905
0,0,0,0,1,2.405630111694336,0,0.0341489315032959
0,0,0,0,1,2.440073013305664,0,0.034442901611328125
0,0,0,0,1,2.471209049224854,0,0.031136035919189897
0,0,0,0,1,2.507172107696533,0,0.03596305847167924
0,0,0,0,1,2.539354085922241,0,0.03218197822570801
0,0,0,0,1,2.571017980575562,0,0.03166389465332076
0,0,0,0,1,2.60051417350769,0,0.029496192932128018
0,0,0,0,1,2.63404107093811,0,0.03352689743041992
0,0,0,0,1,2.669352054595947,0,0.035310983657836914
0,0,0,0,1,2.711112022399902,0,0.04175996780395508
0,0,0,0,1,2.750027179718018,0,0.03891515731811612
0,0,0,0,1,2.781697034835815,0,0.03166985511779696
0,0,0,0,1,2.821593999862671,0,0.03989696502685591
0,0,0,0,1,2.852890014648438,0,0.031296014785767046
0,0,0,0,1,2.88541316986084,0,0.0325231552124019
0,0,0,0,1,2.923541069030762,0,0.03812789916992232
0,0,0,0,1,2.955168008804321,0,0.03162693977355868
0,0,0,0,1,2.992499113082886,0,0.03733110427856534
0,0,0,0,1,3.022853136062622,0,0.030354022979735884
0,0,0,0,1,3.055416107177734,0,0.03256297111511186
0,0,0,0,1,3.095394134521484,0,0.03997802734375
0,0,0,0,1,3.14087700843811,0,0.04548287391662598
0,0,0,0,1,3.174530029296875,0,0.03365302085876509
0,0,0,0,1,3.212538957595825,0,0.038008928298950195
0,0,0,0,1,3.243335008621216,0,0.030796051025390625
0,0,0,0,1,3.277835130691528,0,0.034500122070312056
0,0,0,0,1,3.315528154373169,0,0.03769302368164107
0,0,0,0,1,3.35294508934021,0,0.037416934967041016
0,0,0,0,1,3.385753154754639,0,0.032808065414429155
0,0,0,0,1,3.419329166412354,0,0.033576011657714844
0,0,0,0,1,3.450308084487915,0,0.03097891807556108
0,0,0,0,1,3.482686996459961,0,0.0323789119720459
0,0,0,0,1,3.516355037689209,0,0.03366804122924805
0,0,0,0,1,3.557425022125244,0,0.041069984436035156
0,0,0,0,1,3.589334964752197,0,0.03190994262695268
0,0,0,0,1,3.670719146728516,0,0.08138418197631925
0,0,0,0,1,3.689326047897339,0,0.018606901168822798
0,0,0,0,1,3.715449094772339,0,0.026123046875
0,0,0,0,1,3.752997159957886,0,0.03754806518554732
0,0,0,0,1,3.787132024765015,0,0.034134864807128906
0,0,0,0,1,3.820770025253296,0,0.033638000488280806
0,0,0,0,1,3.857964992523193,0,0.03719496726989702
0,0,0,0,1,3.890969038009644,0,0.033004045486451083
0,0,0,0,1,3.931970119476318,0,0.041001081466673917
0,0,0,0,1,3.961213111877441,0,0.029242992401123047
0,0,0,0,1,3.995516061782837,0,0.03430294990539595
0,0,0,0,1,4.035284042358398,0,0.03976798057556152
0,0,0,0,1,4.062800168991089,0,0.02751612663269043
0,0,0,0,1,4.097100019454956,0,0.03429985046386719
0,0,0,0,1,4.129189968109131,0,0.032089948654174805
0,0,0,0,1,4.160652160644531,0,0.03146219253540039
0,0,0,0,1,4.194868087768555,0,0.03421592712402344
0,0,0,0,1,4.232650995254517,0,0.037782907485961914
0,0,0,0,1,4.268301963806152,0,0.03565096855163574
0,0,0,0,1,4.301267147064209,0,0.03296518325805664
0,0,0,0,1,4.339730024337769,0,0.03846287727356046
0,0,0,0,1,4.371556997299194,0,0.03182697296142489
0,0,0,0,1,4.409487009048462,0,0.03793001174926758
0,0,0,0,1,4.451218128204346,0,0.04173111915588379
0,0,0,0,1,4.483155012130737,0,0.0319368839263916
0,0,0,0,1,4.521291017532349,0,0.03813600540161133
0,0,0,0,1,4.555613994598389,0,0.03432297706604004
0,0,0,0,1,4.585638046264648,0,0.030024051666259766
0,0,0,0,1,4.621742010116577,0,0.03610396385192871
0,0,0,0,1,4.657901048660278,0,0.03615903854370117
0,0,0,0,1,4.689610004425049,0,0.03170895576477051
0,0,0,0,1,4.724893093109131,0,0.03528308868408203
0,0,0,0,1,4.767224073410034,0,0.04233098030090332
0,0,0,0,1,4.793858051300049,0,0.02663397789001465
0,0,0,0,1,4.827766180038452,0,0.03390812873840332
0,0,0,0,1,4.867886066436768,0,0.04011988639831543
0,0,0,0,1,4.91057300567627,0,0.04268693923950284
0,0,0,0,1,4.940698146820068,0,0.03012514114379794
0,0,0,0,1,4.979694128036499,0,0.038995981216430664
0,0,0,0,1,5.011490106582642,0,0.03179597854614258
0,0,0,0,1,5.041383981704712,0,0.029893875122070312
0,0,0,0,1,5.074010133743286,0,0.03262615203857422
0,0,0,0,1,5.10871696472168,0,0.034706830978393555
0,0,0,0,1,5.150783061981201,0,0.042066097259521484
0,0,0,0,1,5.184405088424683,0,0.033622026443481445
