e_k=calc,DesiredDistance=calc,PowerD=calc,e_f=calc,Tid=meas,Avstand=meas,D_k=calc,Ts=calc,I_k=calc,PowerA=calc,u_k=calc
No specified init-data
0,338,0,0,0,338,0,0.005,0,0,0
-2,338,5.0,-0.04,0.00652003288269043,340,0,0.00652003288269043,0,5.0,-5.0
-2,338,5.006830930709839,-0.07919999999999999,0.0133509635925293,340,0,0.006830930709838871,-0.006830930709838871,5.006830930709839,-5.006830930709839
-2,338,5.0106987953186035,-0.117616,0.01721882820129395,340,0,0.0038678646087646484,-0.010698795318603519,5.0106987953186035,-5.0106987953186035
-2,338,5.018100023269653,-0.15526368,0.02462005615234375,340,0,0.007401227951049801,-0.01810002326965332,5.018100023269653,-5.018100023269653
-2,338,5.0244739055633545,-0.19215840639999998,0.03099393844604492,340,0,0.006373882293701168,-0.02447390556335449,5.0244739055633545,-5.0244739055633545
-2,338,5.031129837036133,-0.22831523827199998,0.03764986991882324,340,0,0.006655931472778324,-0.031129837036132812,5.031129837036133,-5.031129837036133
-2,338,5.037500858306885,-0.26374893350656,0.0440208911895752,340,0,0.00637102127075196,-0.03750085830688477,5.037500858306885,-5.037500858306885
-2,338,5.041833877563477,-0.29847395483642875,0.04835391044616699,340,0,0.00433301925659179,-0.04183387756347656,5.041833877563477,-5.041833877563477
-2,338,5.0477728843688965,-0.33250447573970016,0.05429291725158691,340,0,0.005939006805419915,-0.04777288436889648,5.0477728843688965,-5.0477728843688965
-2,338,5.052886962890625,-0.3658543862249061,0.05940699577331543,340,0,0.0051140785217285226,-0.052886962890625,5.052886962890625,-5.052886962890625
-2,338,5.060961961746216,-0.398537298500408,0.06748199462890625,340,0,0.00807499885559082,-0.06096196174621582,5.060961961746216,-5.060961961746216
-2,338,5.063992023468018,-0.43056655253039977,0.07051205635070801,340,0,0.003030061721801758,-0.06399202346801758,5.063992023468018,-5.063992023468018
-2,338,5.06952691078186,-0.46195522147979173,0.07604694366455078,340,0,0.0055348873138427734,-0.06952691078186035,5.06952691078186,-5.06952691078186
0,338,0.0766148567199707,-0.4527161170501959,0.08313488960266113,338,0,0.0070879459381103516,-0.0766148567199707,0.0766148567199707,-0.0766148567199707
0,338,0.0766148567199707,-0.4436617947091919,0.09000992774963379,338,0,0.006875038146972656,-0.0766148567199707,0.0766148567199707,-0.0766148567199707
0,338,0.0766148567199707,-0.43478855881500805,0.09458804130554199,338,0,0.004578113555908203,-0.0766148567199707,0.0766148567199707,-0.0766148567199707
-2,338,5.076614856719971,-0.4660927876387079,0.09981894493103027,340,0,0.005230903625488281,-0.0766148567199707,5.076614856719971,-5.076614856719971
-2,338,5.082702875137329,-0.4967709318859337,0.1059069633483887,340,0,0.006088018417358426,-0.08270287513732913,5.082702875137329,-5.082702875137329
-2,338,5.090739965438843,-0.526835513248215,0.1139440536499023,340,0,0.008037090301513602,-0.09073996543884273,5.090739965438843,-5.090739965438843
-2,338,5.093557834625244,-0.5562988029832507,0.1167619228363037,340,0,0.002817869186401395,-0.09355783462524413,5.093557834625244,-5.093557834625244
0,338,0.10145187377929683,-0.5451728269235857,0.1246559619903564,338,0,0.007894039154052707,-0.10145187377929683,0.10145187377929683,-0.10145187377929683
0,338,0.10145187377929683,-0.534269370385114,0.1308069229125977,338,0,0.006150960922241308,-0.10145187377929683,0.10145187377929683,-0.10145187377929683
0,338,0.10145187377929683,-0.5235839829774117,0.1372919082641602,338,0,0.0064849853515625,-0.10145187377929683,0.10145187377929683,-0.10145187377929683
-2,338,5.101451873779297,-0.5531123033178635,0.1464560031890869,340,0,0.009164094924926675,-0.10145187377929683,5.101451873779297,-5.101451873779297
-2,338,5.1119678020477295,-0.5820500572515063,0.1569719314575195,340,0,0.010515928268432617,-0.11196780204772945,5.1119678020477295,-5.1119678020477295
-2,338,5.119975805282593,-0.6104090561064762,0.1649799346923828,340,0,0.008008003234863309,-0.11997580528259276,5.119975805282593,-5.119975805282593
-2,338,5.124927759170532,-0.6382008749843467,0.1699318885803223,340,0,0.004951953887939481,-0.12492775917053224,5.124927759170532,-5.124927759170532
-2,338,5.1294708251953125,-0.6654368574846599,0.1744749546051025,340,0,0.004543066024780218,-0.12947082519531244,5.1294708251953125,-5.1294708251953125
-2,338,5.134878873825073,-0.6921281203349667,0.1798830032348633,340,0,0.005408048629760798,-0.13487887382507324,5.134878873825073,-5.134878873825073
-2,338,5.1453447341918945,-0.7182855579282674,0.1903488636016846,340,0,0.010465860366821289,-0.14534473419189453,5.1453447341918945,-5.1453447341918945
-2,338,5.152289867401123,-0.7439198467697021,0.1972939968109131,340,0,0.006945133209228516,-0.15228986740112305,5.152289867401123,-5.152289867401123
-2,338,5.1560378074646,-0.7690414498343081,0.2010419368743896,340,0,0.0037479400634764792,-0.15603780746459953,5.1560378074646,-5.1560378074646
-2,338,5.161594867706299,-0.793660620837622,0.2065989971160889,340,0,0.005557060241699302,-0.16159486770629883,5.161594867706299,-5.161594867706299
-2,338,5.168939828872681,-0.8177874084208696,0.2139439582824707,340,0,0.007344961166381808,-0.16893982887268064,5.168939828872681,-5.168939828872681
-2,338,5.176490783691406,-0.8414316602524522,0.2214949131011963,340,0,0.007550954818725586,-0.17649078369140622,5.176490783691406,-5.176490783691406
-2,338,5.179940700531006,-0.8646030270474032,0.2249448299407959,340,0,0.0034499168395996094,-0.17994070053100583,5.179940700531006,-5.179940700531006
-2,338,5.185711860656738,-0.8873109665064551,0.2307159900665283,340,0,0.005771160125732394,-0.18571186065673823,5.185711860656738,-5.185711860656738
0,338,0.19140791893005374,-0.869564747176326,0.2364120483398438,338,0,0.005696058273315513,-0.19140791893005374,0.19140791893005374,-0.19140791893005374
0,338,0.19140791893005374,-0.8521734522327995,0.2433528900146484,338,0,0.006940841674804604,-0.19140791893005374,0.19140791893005374,-0.19140791893005374
0,338,0.19140791893005374,-0.8351299831881435,0.2473769187927246,338,0,0.0040240287780762,-0.19140791893005374,0.19140791893005374,-0.19140791893005374
0,338,0.19140791893005374,-0.8184273835243806,0.2527668476104736,338,0,0.005389928817748968,-0.19140791893005374,0.19140791893005374,-0.19140791893005374
-2,338,5.191407918930054,-0.842058835853893,0.2604749202728271,340,0,0.007708072662353516,-0.19140791893005374,5.191407918930054,-5.191407918930054
-2,338,5.195413827896118,-0.8652176591368151,0.2644808292388916,340,0,0.004005908966064509,-0.19541382789611825,5.195413827896118,-5.195413827896118
-2,338,5.200700044631958,-0.8879133059540789,0.2697670459747314,340,0,0.005286216735839788,-0.20070004463195804,5.200700044631958,-5.200700044631958
-2,338,5.206135988235474,-0.9101550398349973,0.2752029895782471,340,0,0.005435943603515736,-0.20613598823547377,5.206135988235474,-5.206135988235474
-3,338,7.713456869125366,-0.9519519390382973,0.2825238704681396,341,0,0.007320880889892467,-0.21345686912536624,7.713456869125366,-7.713456869125366
-3,338,7.723897099494934,-0.9929129002575314,0.2894840240478516,341,0,0.006960153579712025,-0.22389709949493428,7.723897099494934,-7.723897099494934
-3,338,7.729334473609924,-1.0330546422523808,0.2931089401245117,341,0,0.0036249160766601007,-0.22933447360992443,7.729334473609924,-7.729334473609924
-3,338,7.73778235912323,-1.0723935494073331,0.2987408638000488,341,0,0.005631923675537054,-0.23778235912323,7.73778235912323,-7.73778235912323
0,338,0.24659180641174328,-1.0509456784191864,0.3046138286590576,338,0,0.005872964859008845,-0.24659180641174328,0.24659180641174328,-0.24659180641174328
0,338,0.24659180641174328,-1.0299267648508026,0.3110659122467041,338,0,0.006452083587646484,-0.24659180641174328,0.24659180641174328,-0.24659180641174328
0,338,0.24659180641174328,-1.0093282295537864,0.3178989887237549,338,0,0.006833076477050781,-0.24659180641174328,0.24659180641174328,-0.24659180641174328
0,338,0.24659180641174328,-0.9891416649627107,0.3226559162139893,338,0,0.0047569274902344305,-0.24659180641174328,0.24659180641174328,-0.24659180641174328
-2,338,5.246591806411743,-1.0093588316634565,0.3283889293670654,340,0,0.005733013153076061,-0.24659180641174328,5.246591806411743,-5.246591806411743
-2,338,5.2532267570495605,-1.0291716550301873,0.3350238800048828,340,0,0.006634950637817438,-0.2532267570495607,5.2532267570495605,-5.2532267570495605
-2,338,5.261009931564331,-1.0485882219295835,0.3428070545196533,340,0,0.007783174514770508,-0.2610099315643312,5.261009931564331,-5.261009931564331
-2,338,5.264003753662109,-1.0676164574909919,0.3458008766174316,340,0,0.002993822097778265,-0.2640037536621095,5.264003753662109,-5.264003753662109
-2,338,5.271430730819702,-1.086264128341172,0.3532278537750244,340,0,0.007426977157592829,-0.2714307308197023,5.271430730819702,-5.271430730819702
-2,338,5.27613377571106,-1.1045388457743486,0.3579308986663818,340,0,0.004703044891357366,-0.2761337757110597,5.27613377571106,-5.27613377571106
-2,338,5.280955791473389,-1.1224480688588616,0.3627529144287109,340,0,0.0048220157623291016,-0.2809557914733888,5.280955791473389,-5.280955791473389
-2,338,5.287277936935425,-1.1399991074816844,0.3690750598907471,340,0,0.006322145462036244,-0.287277936935425,5.287277936935425,-5.287277936935425
-2,338,5.292489767074585,-1.1571991253320508,0.3742868900299072,340,0,0.005211830139160101,-0.2924897670745851,5.292489767074585,-5.292489767074585
-2,338,5.298677921295166,-1.1740551428254098,0.3804750442504883,340,0,0.006188154220581055,-0.2986779212951662,5.298677921295166,-5.298677921295166
-2,338,5.303032875061035,-1.1905740399689015,0.3848299980163574,340,0,0.004354953765869141,-0.3030328750610353,5.303032875061035,-5.303032875061035
