PowerD=calc,DesiredDistance=calc,e_i=calc,e_f=calc,Tid=meas,Avstand=meas,Ts=calc,e_d=calc,PowerA=calc,u_k=calc,e_k=calc
No specified init-data
0,302,0,0,0,302,0.005,0,0,0,0
0,302,0,0,0.006016016006469727,302,0.006016016006469727,0,0,0,0
0,302,0,0,0.01250410079956055,302,0.00648808479309082,0,0,0,0
0,302,0,0,0.01971101760864258,302,0.007206916809082031,0,0,0,0
0,302,0,0,0.02412700653076172,302,0.004415988922119141,0,0,0,0
0,302,0,0,0.03183698654174805,302,0.007709980010986328,0,0,0,0
0,302,0,0,0.03768396377563477,302,0.005846977233886719,0,0,0,0
0,302,0,0,0.04260611534118652,302,0.004922151565551758,0,0,0,0
0,302,0,0,0.04775309562683105,302,0.005146980285644531,0,0,0,0
0,302,0,0,0.05506396293640137,302,0.007310867309570313,0,0,0,0
0,302,0,0,0.05878114700317383,302,0.003717184066772461,0,0,0,0
0,302,0,0,0.06512999534606934,302,0.006348848342895508,0,0,0,0
0,302,0,0,0.07098007202148438,302,0.005850076675415039,0,0,0,0
0,302,0,0,0.07806611061096191,302,0.007086038589477539,0,0,0,0
0,302,0,0,0.08440017700195313,302,0.006334066390991211,0,0,0,0
0,302,0,0,0.09076118469238281,302,0.006361007690429688,0,0,0,0
0,302,0,0,0.09771418571472168,302,0.006953001022338867,0,0,0,0
0,302,0,0,0.1050560474395752,302,0.007341861724853516,0,0,0,0
0,302,0,0,0.1087419986724854,302,0.003685951232910156,0,0,0,0
0,302,0,0,0.1159331798553467,302,0.007191181182861328,0,0,0,0
0,302,0,0,0.1226711273193359,302,0.006737947463989258,0,0,0,0
0,302,0,0,0.1269381046295166,302,0.004266977310180664,0,0,0,0
0,302,0,0,0.1326501369476318,302,0.005712032318115234,0,0,0,0
0,302,0,0,0.1378111839294434,302,0.005161046981811523,0,0,0,0
0,302,0,0,0.1451470851898193,302,0.007335901260375977,0,0,0,0
0,302,0,0,0.1486999988555908,302,0.003552913665771484,0,0,0,0
0,302,0,0,0.1554100513458252,302,0.006710052490234375,0,0,0,0
0,302,0,0,0.1627621650695801,302,0.007352113723754883,0,0,0,0
0,302,0,0,0.1665470600128174,302,0.003784894943237305,0,0,0,0
0,302,0,0,0.1724870204925537,302,0.005939960479736328,0,0,0,0
0,302,0,0,0.1774611473083496,302,0.004974126815795898,0,0,0,0
0,302,0,0,0.1850790977478027,302,0.007617950439453125,0,0,0,0
0,302,0,0,0.1929240226745605,302,0.007844924926757813,0,0,0,0
0,302,0,0,0.1997311115264893,302,0.006807088851928711,0,0,0,0
0,302,0,0,0.204596996307373,302,0.004865884780883789,0,0,0,0
0,302,0,0,0.2098701000213623,302,0.005273103713989258,0,0,0,0
0,302,0,0,0.2150731086730957,302,0.005203008651733398,0,0,0,0
0,302,0,0,0.2226130962371826,302,0.007539987564086914,0,0,0,0
0,302,0,0,0.2267830371856689,302,0.004169940948486328,0,0,0,0
0,302,0,0,0.2345051765441895,302,0.007722139358520508,0,0,0,0
