e_k=calc,DesiredDistance=calc,PowerD=calc,e_f=calc,Tid=meas,Avstand=meas,D_k=calc,Ts=calc,I_k=calc,PowerA=calc,u_k=calc
No specified init-data
0,225,0,0,0,225,0,0.005,0,0,0
0,225,0,0,0.02493190765380859,225,0,0.02493190765380859,0,0,0
0,225,0,0,0.04983878135681152,225,0,0.024906873703002933,0,0,0
0,225,0,0,0.07292985916137695,225,0,0.02309107780456543,0,0,0
0,225,0,0,0.09682798385620117,225,0,0.02389812469482422,0,0,0
0,225,0,0,0.1267259120941162,225,0,0.02989792823791504,0,0,0
0,225,0,0,0.152230978012085,225,0,0.025505065917968778,0,0,0
0,225,0,0,0.183729887008667,225,0,0.031498908996582003,0,0,0
0,225,0,0,0.2087619304656982,225,0,0.025032043457031194,0,0,0
0,225,0,0,0.2322309017181396,225,0,0.023468971252441406,0,0,0
0,225,0,0,0.2542579174041748,225,0,0.022027015686035212,0,0,0
0,225,0,0,0.2803359031677246,225,0,0.026077985763549805,0,0,0
0,225,0,0,0.3040609359741211,225,0,0.023725032806396484,0,0,0
0,225,0,0,0.3300018310546875,225,0,0.025940895080566406,0,0,0
0,225,0,0,0.3518478870391846,225,0,0.021846055984497126,0,0,0
0,225,0,0,0.3749849796295166,225,0,0.023137092590331976,0,0,0
0,225,0,0,0.4015779495239258,225,0,0.02659296989440918,0,0,0
0,225,0,0,0.4244358539581299,225,0,0.0228579044342041,0,0,0
0,225,0,0,0.447307825088501,225,0,0.022871971130371094,0,0,0
0,225,0,0,0.4732489585876465,225,0,0.025941133499145508,0,0,0
0,225,0,0,0.4961099624633789,225,0,0.022861003875732422,0,0,0
0,225,0,0,0.517143964767456,225,0,0.02103400230407715,0,0,0
0,225,0,0,0.5430397987365723,225,0,0.02589583396911621,0,0,0
0,225,0,0,0.5729968547821045,225,0,0.029957056045532227,0,0,0
0,225,0,0,0.5968399047851562,225,0,0.023843050003051758,0,0,0
0,225,0,0,0.6226098537445068,225,0,0.025769948959350586,0,0,0
0,225,0,0,0.6496198177337646,225,0,0.027009963989257812,0,0,0
