e_k=calc,DesiredDistance=calc,PowerD=calc,e_f=calc,Tid=meas,Avstand=meas,D_k=calc,Ts=calc,I_k=calc,PowerA=calc,u_k=calc
No specified init-data
0,263,0,0,0,263,0,0.005,0,0,0
0,263,0,0,0.003823995590209961,263,0,0.003823995590209961,0,0,0
0,263,0,0,0.01259803771972656,263,0,0.0087740421295166,0,0,0
0,263,0,0,0.01593017578125,263,0,0.0033321380615234392,0,0,0
0,263,0,0,0.0205080509185791,263,0,0.0045778751373291016,0,0,0
0,263,0,0,0.02850008010864258,263,0,0.00799202919006348,0,0,0
0,263,0,0,0.03491711616516113,263,0,0.006417036056518551,0,0,0
0,263,0,0,0.04143118858337402,263,0,0.006514072418212891,0,0,0
0,263,0,0,0.04617905616760254,263,0,0.004747867584228516,0,0,0
0,263,0,0,0.05176806449890137,263,0,0.005589008331298828,0,0,0
0,263,0,0,0.05883908271789551,263,0,0.007071018218994141,0,0,0
0,263,0,0,0.06449103355407715,263,0,0.005651950836181641,0,0,0
0,263,0,0,0.07091212272644043,263,0,0.006421089172363281,0,0,0
-1,263,2.553604754297399,-0.02,0.07837414741516113,264,-0.05360475429739919,0.007462024688720703,0,2.553604754297399,-2.553604754297399
-1,263,2.646011554991615,-0.039599999999999996,0.08108401298522949,264,-0.14465662220658101,0.0027098655700683594,-0.0013549327850341797,2.646011554991615,-2.646011554991615
-1,263,2.557428017989606,-0.058808,0.08841419219970703,264,-0.05240799559733291,0.007330179214477539,-0.005020022392272949,2.557428017989606,-2.557428017989606
-1,263,2.5962636878432632,-0.07763184,0.09263801574707031,264,-0.08913175367730862,0.004223823547363281,-0.00713193416595459,2.5962636878432632,-2.5962636878432632
0,263,0.004422548946303388,-0.07607920319999999,0.09826207160949707,263,0.0055214131508645806,0.005624055862426758,-0.009943962097167969,0.004422548946303388,-0.004422548946303388
0,263,0.005402592904845,-0.07455761913599998,0.1049630641937256,263,0.004541369192322969,0.0067009925842285295,-0.009943962097167969,0.005402592904845,-0.005402592904845
0,263,0.004994924389194058,-0.07306646675327998,0.1109890937805176,263,0.004949037707973911,0.006026029586792006,-0.009943962097167969,0.004994924389194058,-0.004994924389194058
0,263,0.005713093404282657,-0.07160513741821438,0.1178970336914063,263,0.004230868692885312,0.0069079399108887,-0.009943962097167969,0.005713093404282657,-0.005713093404282657
0,263,0.0016566079499888316,-0.07017303466985009,0.1213531494140625,263,0.008287354147179137,0.0034561157226561945,-0.009943962097167969,0.0016566079499888316,-0.0016566079499888316
0,263,0.006484140303258366,-0.06876957397645309,0.1294660568237305,263,0.0034598217939096026,0.008112907409667997,-0.009943962097167969,0.006484140303258366,-0.006484140303258366
0,263,0.004614068824054206,-0.06739418249692403,0.134627103805542,263,0.005329893273113763,0.005161046981811496,-0.009943962097167969,0.004614068824054206,-0.004614068824054206
0,263,0.005033696943677229,-0.06604629884698554,0.1401171684265137,263,0.00491026515349074,0.0054900646209717074,-0.009943962097167969,0.005033696943677229,-0.005033696943677229
0,263,0.006820782126603887,-0.06472537287004583,0.148576021194458,263,0.0031231799705640816,0.008458852767944308,-0.009943962097167969,0.006820782126603887,-0.006820782126603887
0,263,0.006484102410297032,-0.06343086541264491,0.1560590267181396,263,0.003459859686870937,0.007483005523681585,-0.009943962097167969,0.006484102410297032,-0.006484102410297032
0,263,0.004455883451946598,-0.062162248104392005,0.160682201385498,263,0.005488078645221371,0.0046231746673583984,-0.009943962097167969,0.004455883451946598,-0.004455883451946598
0,263,0.0054336932588123785,-0.06091900314230416,0.1661951541900635,263,0.00451026883835559,0.005512952804565513,-0.009943962097167969,0.0054336932588123785,-0.0054336932588123785
0,263,0.00561121685903524,-0.05970062307945807,0.1718192100524902,263,0.004332745238132729,0.005624055862426702,-0.009943962097167969,0.00561121685903524,-0.00561121685903524
0,263,0.006728623107284332,-0.05850661061786891,0.179246187210083,263,0.0032153389898836367,0.007426977157592801,-0.009943962097167969,0.006728623107284332,-0.006728623107284332
0,263,0.006573274127098669,-0.05733647840551153,0.1861891746520996,263,0.0033706879700693,0.0069429874420166016,-0.009943962097167969,0.006573274127098669,-0.006573274127098669
0,263,0.003814962524765226,-0.0561897488374013,0.1899311542510986,263,0.006128999572402743,0.0037419795989989957,-0.009943962097167969,0.003814962524765226,-0.003814962524765226
