Lys=meas,Avstand=calc,Fart_IIR=calc,Ts=calc,Tid=meas,Avstand_IIR=calc,Fart=calc
Lys0=41
41,41,0,0.005,0,41,0
41,41,0,0.01639008522033691,0.01639008522033691,41.0,0
41,41,0,0.0037980079650878906,0.0201880931854248,41.0,0
41,41,0,0.014248847961425792,0.03443694114685059,41.0,0
40,40,-3.153493477688812,0.006342172622680657,0.04077911376953125,40.98,-157.6746738844406
41,41,0.002720934637821859,0.006465911865234382,0.04724502563476563,40.980399999999996,154.6572271386429
41,41,0.0026665159450654217,0.006799936294555657,0.05404496192932129,40.980791999999994,0
41,41,0.0026131856261641133,0.004136085510253913,0.0581810474395752,40.98117616,0
41,41,0.002560921913640831,0.009715080261230462,0.06789612770080566,40.9815526368,0
42,42,2.382931950921452,0.008401870727539062,0.07629799842834473,41.001921584064,119.0211123723042
42,42,2.335273311903023,0.007169008255004883,0.08346700668334961,41.02188315238272,0
42,42,2.2885678456649625,0.009938955307006836,0.09340596199035645,41.04144548933507,0
42,42,2.2427964887516634,0.0050890445709228516,0.0984950065612793,41.060616579548366,0
42,42,2.19794055897663,0.005837917327880901,0.1043329238891602,41.0794042479574,0
42,42,2.153981747797097,0.006477117538452107,0.1108100414276123,41.09781616299826,0
43,43,4.511282116847225,0.00833201408386229,0.1191420555114746,41.13585983973829,120.01900020030352
43,43,4.42105647451028,0.006306886672973591,0.1254489421844482,41.17314264294352,0
43,43,4.3326353450200745,0.0068910121917725164,0.1323399543762207,41.20967979008464,0
43,43,4.245982638119673,0.006721973419189509,0.1390619277954102,41.24548619428295,0
43,43,4.16106298535728,0.006846189498901284,0.1459081172943115,41.280576470397286,0
43,43,4.077841725650134,0.008096933364868192,0.1540050506591797,41.31496494098934,0
43,43,3.9962848911371314,0.0063519477844238,0.1603569984436035,41.34866564216955,0
42,42,1.3240021983516463,0.0077149868011475164,0.168071985244751,41.36169232932616,-129.61784974813713
42,42,1.2975221543846134,0.00701904296875,0.175091028213501,41.37445848273964,0
42,42,1.2715717112969211,0.005089998245239202,0.1801810264587402,41.38696931308485,0
42,42,1.2461402770709826,0.005109071731567383,0.1852900981903076,41.39922992682315,0
42,42,1.221217471529563,0.006875991821289118,0.1921660900115967,41.41124532828669,0
42,42,1.1967931220989716,0.0054168701171875,0.1975829601287842,41.423020421720956,0
42,42,1.1728572596569922,0.006571054458618081,0.2041540145874023,41.43456001328654,0
42,42,1.1494001144638524,0.00514101982116702,0.2092950344085693,41.445868813020816,0
42,42,1.1264121121745754,0.005178928375244196,0.2144739627838135,41.456951436760406,0
43,43,3.3275632252486673,0.008994102478027288,0.2234680652618408,41.4878124080252,111.18396776587917
43,43,3.261011960743694,0.0070300102233887,0.2304980754852295,41.51805615986469,0
44,44,5.926191747567945,0.007324934005737305,0.2378230094909668,41.5676950366674,136.5200013019562
44,44,5.807667912616585,0.007169008255004911,0.2449920177459717,41.61634113593406,0
44,44,5.691514554364254,0.007157087326049777,0.2521491050720215,41.664014313215375,0
45,45,8.759888276781767,0.006284952163696289,0.2584340572357178,41.73073402695107,159.11020067523995
45,45,8.584690511246132,0.004579067230224609,0.2630131244659424,41.79611934641205,0
45,45,8.412996701021209,0.005821943283080999,0.2688350677490234,41.86019695948381,0
45,45,8.244736767000784,0.0052719116210938055,0.2741069793701172,41.92299302029413,0
45,45,8.07984203166077,0.0063381195068359375,0.2804450988769531,41.984533159888244,0
46,46,10.95089332377766,0.006594896316528265,0.2870399951934814,42.06484249669048,151.63240663750534
46,46,10.731875457302106,0.006283998489379883,0.2933239936828613,42.14354564675667,0
46,46,10.517237948156064,0.004662990570068415,0.2979869842529297,42.22067473382154,0
46,46,10.306893189192943,0.005300045013427734,0.3032870292663574,42.29626123914511,0
46,46,10.100755325409084,0.005685091018676758,0.3089721202850342,42.37033601436221,0
47,47,12.920355376310287,0.006618976593017634,0.3155910968780518,42.46292929407496,151.08075787046917
46,46,10.261568264778013,0.008332014083862305,0.3239231109619141,42.53367070819346,-120.01900020030331
46,46,10.056336899482453,0.00307393074035639,0.3269970417022705,42.60299729402959,0
47,47,13.121039017679083,0.006124019622802679,0.3331210613250732,42.690937348149,163.29144280931393
47,47,12.858618237325501,0.005804061889648493,0.3389251232147217,42.77711860118602,0
47,47,12.60144587257899,0.005344867706298828,0.3442699909210205,42.861576229162296,0
