Lys=meas,Avstand=calc,Fart_IIR=calc,Ts=calc,Tid=meas,Avstand_IIR=calc,Fart=calc
Lys0=37
37,37,0,0.005,0,37,0
38,38,9.924527944725899,0.02015209197998047,0.02015209197998047,37.2,49.622639723628794
38,38,80.64999879822324,0.0019838809967041016,0.02213597297668457,37.36000000000001,0
38,38,13.509245162426716,0.009474992752075202,0.03161096572875977,37.48800000000001,0
38,38,18.239976625473005,0.005614042282104485,0.03722500801086426,37.59040000000001,0
39,39,46.056640324063174,0.006121158599853516,0.04334616661071777,37.87232000000001,163.36776505414036
38,38,3.697764437908174,0.006905794143676758,0.05025196075439453,37.89785600000001,-144.8059382012774
39,39,39.63073417442678,0.0055620670318603516,0.05581402778625488,38.11828480000001,179.7892751510995
39,39,24.850865774423138,0.007096052169799805,0.06291007995605469,38.29462784000001,0
39,39,19.612497661098526,0.007193088531494141,0.07010316848754883,38.435702272000015,0
39,39,18.048852081758266,0.00625300407409668,0.07635617256164551,38.54856181760002,0
39,39,12.666615206830361,0.007128000259399414,0.08348417282104492,38.63884945408002,0
39,39,14.657459764424011,0.004927873611450195,0.08841204643249512,38.711079563264015,0
39,39,8.336969099676173,0.0069310665130615234,0.09534311294555664,38.76886365061121,0
39,39,8.21398953430941,0.005627870559692355,0.100970983505249,38.81509092048897,0
39,39,6.42156813768978,0.005759000778198298,0.1067299842834473,38.85207273639118,0
40,40,42.87977836276903,0.005354166030883803,0.1120841503143311,39.08165818911294,186.77045019370303
40,40,29.191396216528254,0.006291866302490207,0.1183760166168213,39.26532655129036,0
40,40,19.74904687955277,0.00744009017944329,0.1258161067962646,39.41226124103228,0
40,40,16.29477494591897,0.007213830947876004,0.1330299377441406,39.52980899282583,0
40,40,11.605166811749546,0.008103132247924805,0.1411330699920654,39.62384719426066,0
40,40,12.529875056377257,0.006004095077514704,0.1471371650695801,39.69907775540853,0
40,40,7.267782075715359,0.008280992507934487,0.1554181575775146,39.75926220432683,0
40,40,7.14143503319296,0.006742000579834012,0.1621601581573486,39.807409763461465,0
40,40,17.022062995984534,0.002262830734252985,0.1644229888916016,39.84592781076917,0
39,39,-16.102012255140764,0.010507106781005804,0.1749300956726074,39.67674224861534,-95.17367823916547
39,39,-17.11773441283511,0.007906913757324219,0.1828370094299316,39.54139379889227,0
40,40,11.051933831658166,0.008299112319946289,0.1911361217498779,39.63311503911382,120.49481455945302
40,40,11.80444199896266,0.006216049194335993,0.1973521709442139,39.706492031291056,0
40,40,9.257494714903965,0.006340980529785101,0.203693151473999,39.76519362503285,0
40,40,5.902779931974754,0.007955789566040095,0.2116489410400391,39.812154900026286,0
39,39,-24.874398815581273,0.006530046463012723,0.2181789875030518,39.64972392002103,-153.1382671875564
39,39,-26.1818670955466,0.004963159561157199,0.223142147064209,39.51977913601682,0
39,39,-15.602316677248217,0.006662845611572293,0.2298049926757813,39.41582330881346,0
38,38,-54.224474888823664,0.005222082138061496,0.2350270748138428,39.13265864705077,-191.49449847053017
37,37,-45.755741548170356,0.009321928024291992,0.2443490028381348,38.70612691764062,-107.2739456252078
37,37,-34.321414653082215,0.009942054748535128,0.2542910575866699,38.3649015341125,0
37,37,-34.46709391693987,0.007920026779174805,0.2622110843658447,38.09192122729,0
36,36,-51.812297802163755,0.008074998855590765,0.2702860832214355,37.673536981832,-123.8390268387029
36,36,-98.8497797077289,0.0033860206604003906,0.2736721038818359,37.338829585465604,0
36,36,-43.2657237509558,0.006188869476318415,0.2798609733581543,37.07106366837249,0
36,36,-33.59657950498682,0.006376028060913086,0.2862370014190674,36.856850934697995,0
35,35,-71.98296873984398,0.005159139633178711,0.2913961410522461,36.4854807477584,-193.8307685198022
35,35,-34.78912221025688,0.008539915084838923,0.299936056137085,36.188384598206724,0
34,34,-70.67372684348089,0.006192922592162975,0.306128978729248,35.75070767856538,-161.47464870067662
33,33,-71.912638882023,0.0076501369476318914,0.3137791156768799,35.2005661428523,-130.71661420512885
33,33,-100.38985615869028,0.004384040832519531,0.3181631565093994,34.76045291428184,0
32,32,-106.84919435385684,0.0051670074462890625,0.3233301639556885,34.20836233142548,-193.53562200073827
31,31,-76.06391182289282,0.008435964584350641,0.3317661285400391,33.56668986514038,-118.54008987366737
31,31,-77.74311296709051,0.006603002548217662,0.3383691310882568,33.05335189211231,0
30,30,-133.66055476171869,0.004568815231323298,0.3429379463195801,32.44268151368985,-218.87512393675047
30,30,-90.85575172788884,0.005377054214477539,0.3483150005340576,31.95414521095188,0
29,29,-92.76471569121948,0.006369113922119196,0.3546841144561768,31.363316168761504,-157.00771131241908
28,28,-105.46723830810825,0.0063779354095458984,0.3610620498657227,30.690652935009204,-156.79054988598557
27,27,-109.11200654064265,0.006764888763427679,0.3678269386291504,29.952522348007363,-147.8220906463676
26,26,-113.24985684555664,0.00698018074035639,0.3748071193695068,29.16201787840589,-143.26276599378465
26,26,-78.29774912459276,0.008076906204223744,0.3828840255737305,28.529614302724713,0
26,26,-92.00061901908146,0.0054991245269774836,0.388383150100708,28.02369144217977,0
25,25,-85.5235087376119,0.007071018218994085,0.3954541683197021,27.418953153743818,-141.42234810169373
