Lys=meas,Avstand=calc,Fart_IIR=calc,Ts=calc,Tid=meas,Avstand_IIR=calc,Fart=calc
Lys0=37
37,37,0,0.005,0,37,0
38,38,9.924527944725899,0.02015209197998047,0.02015209197998047,37.20000000000001,49.6226397236288
38,38,80.64999879822324,0.001983880996704102,0.02213597297668457,37.36000000000001,0
38,38,13.50924516242673,0.009474992752075195,0.03161096572875977,37.48800000000001,0
38,38,18.23997662547298,0.005614042282104492,0.03722500801086426,37.59040000000001,0
39,39,46.05664032406318,0.006121158599853516,0.04334616661071777,37.87232000000001,163.3677650541404
38,38,3.697764437908174,0.006905794143676758,0.05025196075439453,37.89785600000001,-144.8059382012774
39,39,39.63073417442678,0.005562067031860352,0.05581402778625488,38.11828480000001,179.7892751510995
39,39,24.85086577442314,0.007096052169799805,0.06291007995605469,38.29462784000001,0
39,39,19.61249766109853,0.007193088531494141,0.07010316848754883,38.43570227200002,0
39,39,18.04885208175827,0.00625300407409668,0.07635617256164551,38.54856181760002,0
39,39,12.66661520683036,0.007128000259399414,0.08348417282104492,38.63884945408002,0
39,39,14.65745976442401,0.004927873611450195,0.08841204643249512,38.71107956326401,0
39,39,8.336969099676173,0.006931066513061523,0.09534311294555664,38.76886365061121,0
39,39,8.21398953430937,0.005627870559692383,0.100970983505249,38.81509092048897,0
39,39,6.421568137689842,0.005759000778198242,0.1067299842834473,38.85207273639118,0
40,40,42.87977836276914,0.005354166030883789,0.1120841503143311,39.08165818911295,186.7704501937035
40,40,29.19139621652812,0.006291866302490234,0.1183760166168213,39.26532655129036,0
40,40,19.74904687955259,0.007440090179443359,0.1258161067962646,39.41226124103228,0
40,40,16.29477494591903,0.007213830947875977,0.1330299377441406,39.52980899282583,0
40,40,11.60516681174955,0.008103132247924805,0.1411330699920654,39.62384719426066,0
40,40,12.52987505637738,0.006004095077514648,0.1471371650695801,39.69907775540853,0
40,40,7.267782075715285,0.00828099250793457,0.1554181575775146,39.75926220432683,0
40,40,7.14143503319299,0.006742000579833984,0.1621601581573486,39.80740976346146,0
40,40,17.02206299598495,0.00226283073425293,0.1644229888916016,39.84592781076917,0
39,39,-16.10201225514068,0.01050710678100586,0.1749300956726074,39.67674224861534,-95.17367823916498
39,39,-17.11773441283511,0.007906913757324219,0.1828370094299316,39.54139379889227,0
40,40,11.05193383165817,0.008299112319946289,0.1911361217498779,39.63311503911382,120.494814559453
40,40,11.80444199896277,0.006216049194335938,0.1973521709442139,39.70649203129106,0
40,40,9.257494714903883,0.006340980529785156,0.203693151473999,39.76519362503285,0
40,40,5.902779931974796,0.007955789566040039,0.2116489410400391,39.81215490002629,0
39,39,-24.87439881558138,0.006530046463012695,0.2181789875030518,39.64972392002103,-153.1382671875571
39,39,-26.18186709554646,0.004963159561157227,0.223142147064209,39.51977913601683,0
39,39,-15.60231667724828,0.006662845611572266,0.2298049926757813,39.41582330881346,0
38,38,-54.22447488882338,0.005222082138061523,0.2350270748138428,39.13265864705077,-191.4944984705292
37,37,-45.75574154817036,0.009321928024291992,0.2443490028381348,38.70612691764062,-107.2739456252078
37,37,-34.32141465308212,0.009942054748535156,0.2542910575866699,38.3649015341125,0
37,37,-34.46709391693987,0.007920026779174805,0.2622110843658447,38.09192122729,0
36,36,-51.81229780216341,0.00807499885559082,0.2702860832214355,37.673536981832,-123.839026838702
36,36,-98.84977970772891,0.003386020660400391,0.2736721038818359,37.33882958546561,0
36,36,-43.26572375095619,0.006188869476318359,0.2798609733581543,37.07106366837249,0
36,36,-33.59657950498682,0.006376028060913086,0.2862370014190674,36.856850934698,0
35,35,-71.98296873984399,0.005159139633178711,0.2913961410522461,36.48548074775841,-193.8307685198022
35,35,-34.78912221025711,0.008539915084838867,0.299936056137085,36.18838459820672,0
34,34,-70.67372684347963,0.006192922592163086,0.306128978729248,35.75070767856538,-161.4746487006737
33,33,-71.91263888202352,0.007650136947631836,0.3137791156768799,35.20056614285231,-130.7166142051298
33,33,-100.3898561586903,0.004384040832519531,0.3181631565093994,34.76045291428184,0
32,32,-106.8491943538568,0.005167007446289063,0.3233301639556885,34.20836233142548,-193.5356220007383
31,31,-76.06391182289332,0.008435964584350586,0.3317661285400391,33.56668986514038,-118.5400898736682
31,31,-77.74311296708921,0.006603002548217773,0.3383691310882568,33.05335189211231,0
30,30,-133.6605547617203,0.004568815231323242,0.3429379463195801,32.44268151368985,-218.8751239367531
30,30,-90.85575172788884,0.005377054214477539,0.3483150005340576,31.95414521095188,0
29,29,-92.76471569122029,0.006369113922119141,0.3546841144561768,31.3633161687615,-157.0077113124204
28,28,-105.4672383081082,0.006377935409545898,0.3610620498657227,30.69065293500921,-156.7905498859856
27,27,-109.1120065406418,0.006764888763427734,0.3678269386291504,29.95252234800736,-147.8220906463664
26,26,-113.2498568455558,0.006980180740356445,0.3748071193695068,29.16201787840589,-143.2627659937835
26,26,-78.29774912459384,0.008076906204223633,0.3828840255737305,28.52961430272472,0
26,26,-92.00061901908052,0.005499124526977539,0.388383150100708,28.02369144217977,0
25,25,-85.52350873761123,0.007071018218994141,0.3954541683197021,27.41895315374382,-141.4223481016926
