Temp_IIR_02=calc,Temp=calc,Temp_FIR_02=calc,Temp_FIR=calc,Temp_IIR_03=calc,Temp_IIR=calc,Ts=calc,Lys=meas,Tid=meas,Temp_FIR_03=calc
Lys0=25
25,25,25,25,25,25,0.005,25,0,25
25.0,25,25.0,25.0,25.0,25.0,0.01710700988769531,25,0.01710700988769531,25.0
25.0,25,25.0,25.0,25.0,25.0,0.01353597640991211,25,0.03064298629760742,25.0
25.0,25,25.0,25.0,25.0,25.0,0.006798982620239261,25,0.03744196891784668,25.0
25.0,25,25.0,25.0,25.0,25.0,0.006951808929443359,25,0.04439377784729004,25.0
25.0,25,25.0,25.0,25.0,25.0,0.006857156753540039,25,0.05125093460083008,25.0
25.0,25,25.0,25.0,25.0,25.0,0.008687019348144531,25,0.05993795394897461,25.0
25.0,25,25.0,25.0,25.0,25.0,0.006784915924072266,25,0.06672286987304688,25.0
25.0,25,25.0,25.0,25.0,25.0,0.01004791259765625,25,0.07677078247070312,25.0
25.0,25,25.0,25.0,25.0,25.0,0.005903005599975586,25,0.08267378807067871,25.0
25.0,25,25.0,25.0,25.0,25.0,0.007372140884399414,25,0.09004592895507812,25.0
25.0,25,25.0,25.0,25.0,25.0,0.007206916809082031,25,0.09725284576416016,25.0
25.0,25,25.0,25.0,25.0,25.0,0.008469104766845745,25,0.1057219505310059,25.0
25.0,25,25.0,25.0,25.0,25.0,0.006816864013671806,25,0.1125388145446777,25.0
25.0,25,25.0,25.0,25.0,25.0,0.0060880184173583984,25,0.1186268329620361,25.0
25.0,25,25.0,25.0,25.0,25.0,0.007946014404296903,25,0.126572847366333,25.0
25.0,25,25.0,25.0,25.0,25.0,0.005274057388305692,25,0.1318469047546387,25.0
25.0,25,25.0,25.0,25.0,25.0,0.007391929626464788,25,0.1392388343811035,25.0
25.0,25,25.0,25.0,25.0,25.0,0.0068509578704833984,25,0.1460897922515869,25.0
25.0,25,25.0,25.0,25.0,25.0,0.009253025054931724,25,0.1553428173065186,25.0
25.0,25,25.0,25.0,25.0,25.0,0.007204055786132785,25,0.1625468730926514,25.0
24.9,24,24.9,24.666666666666668,24.95,24.4,0.005583047866821317,24,0.1681299209594727,24.954545454545453
24.91,25,24.9,24.666666666666668,24.952499999999997,24.759999999999998,0.012719869613647378,25,0.1808497905731201,24.956521739130434
24.919,25,24.9,24.666666666666668,24.954874999999998,24.904,0.008926153182983398,25,0.1897759437561035,24.958333333333332
24.9271,25,24.9,25.0,24.957131249999996,24.9616,0.0059878826141358255,25,0.1957638263702393,24.96
24.93439,25,24.9,25.0,24.959274687499995,24.98464,0.006762981414794894,25,0.2025268077850342,24.96153846153846
24.940951000000002,25,24.9,25.0,24.961310953124993,24.993856,0.004585981369018499,25,0.2071127891540527,24.962962962962962
24.946855900000003,25,24.9,25.0,24.963245405468744,24.9975424,0.006049156188964899,25,0.2131619453430176,24.964285714285715
24.952170310000003,25,24.9,25.0,24.965083135195304,24.99901696,0.011317968368530301,25,0.2244799137115479,24.96551724137931
24.956953279000004,25,24.9,25.0,24.966828978435537,24.999606784,0.011169910430908203,25,0.2356498241424561,24.966666666666665
24.961257951100006,25,24.9,25.0,24.96848752951376,24.999842713600003,0.007012128829955999,25,0.2426619529724121,24.967741935483872
24.965132155990005,25,25.0,25.0,24.97006315303807,24.999937085440003,0.007061004638671903,25,0.249722957611084,24.96875
24.968618940391007,25,25.0,25.0,24.971559995386166,24.999974834176,0.007817983627319308,25,0.2575409412384033,24.96969696969697
24.971757046351907,25,25.0,25.0,24.972981995616855,24.9999899336704,0.007652997970581055,25,0.2651939392089844,24.970588235294116
24.974581341716718,25,25.0,25.0,24.97433289583601,24.99999597346816,0.009472846984863337,25,0.2746667861938477,24.97142857142857
24.977123207545045,25,25.0,25.0,24.975616251044208,24.999998389387265,0.0101470947265625,25,0.2848138809204102,24.97222222222222
24.97941088679054,25,25.0,25.0,24.976835438491996,24.99999935575491,0.0064389705657958984,25,0.2912528514862061,24.972972972972972
24.981469798111487,25,25.0,25.0,24.977993666567397,24.999999742301966,0.009876012802123968,25,0.3011288642883301,24.973684210526315
24.983322818300337,25,25.0,25.0,24.979093983239025,24.999999896920787,0.005877971649169922,25,0.3070068359375,24.974358974358974
24.984990536470303,25,25.0,25.0,24.980139284077072,24.999999958768313,0.005604982376098577,25,0.3126118183135986,24.975
24.986491482823272,25,25.0,25.0,24.98113231987322,24.999999983507326,0.00707316398620611,25,0.3196849822998047,24.975609756097562
24.88784233454095,24,24.9,24.666666666666668,24.932075703879555,24.39999999340293,0.007105827331543024,24,0.3267908096313477,24.952380952380953
24.899058101086855,25,24.9,24.666666666666668,24.935471918685575,24.75999999736117,0.008793115615844671,25,0.3355839252471924,24.953488372093023
24.80915229097817,24,24.8,24.333333333333332,24.888698322751296,24.30399999894447,0.006875991821289007,24,0.3424599170684814,24.931818181818183
24.82823706188035,25,24.8,24.666666666666668,24.894263406613728,24.72159999957779,0.004208087921142634,25,0.346668004989624,24.933333333333334
24.845413355692315,25,24.8,24.666666666666668,24.89955023628304,24.888639999831117,0.005117893218994196,25,0.3517858982086182,24.934782608695652
24.860872020123086,25,24.8,25.0,24.90457272446889,24.955455999932447,0.0069849491119383655,25,0.3587708473205566,24.93617021276596
24.87478481811078,25,24.8,25.0,24.909344088245444,24.982182399972977,0.00720500946044933,25,0.3659758567810059,24.9375
24.8873063362997,25,24.8,25.0,24.913876883833172,24.992872959989192,0.008156061172485296,25,0.3741319179534912,24.93877551020408
