Tid=meas,Temp=calc,Ts=calc,Temp_FIR=calc,Temp_IIR=calc,Lys=meas
Lys0=75
13.61480808258057,36,0.0060031414032000185,36.0,36.132646634653426,36
13.62045502662659,35,0.005646944046020508,36.0,36.076014302920754,35
13.62641906738281,36,0.005964040756220257,35.9,36.07221358777471,36
13.63408303260803,36,0.0076639652252197266,35.9,36.06860290838597,36
13.63955307006836,36,0.005470037460328925,35.9,36.06517276296667,36
13.64627003669739,36,0.006716966629030097,35.9,36.06191412481833,36
13.65096497535706,35,0.004694938659669745,35.9,36.00881841857741,35
13.65755295753479,36,0.006587982177730822,35.8,36.00837749764854,36
13.66460204124451,36,0.00704908370972035,35.8,36.007958622766104,36
13.67156410217285,36,0.0069620609283393975,35.8,36.007560691627795,36
13.67716598510742,36,0.0056018829345703125,35.8,36.0071826570464,36
13.68424701690674,35,0.007081031799319959,35.8,35.95682352419408,35
13.69013595581055,35,0.00588893890381037,35.8,35.90898234798437,35
13.69659805297852,35,0.00646209716796875,35.7,35.86353323058515,35
13.70503091812134,35,0.00843286514282049,35.6,35.82035656905589,35
13.71216201782227,35,0.007131099700929511,35.5,35.779338740603094,35
13.71891903877258,35,0.006757020950310277,35.4,35.74037180357294,35
13.72533702850342,35,0.00641798973084029,35.4,35.703353213394294,35
13.72921299934387,35,0.003875970840450549,35.3,35.66818555272458,35
13.73483109474182,35,0.005618095397949219,35.2,35.63477627508835,35
13.74076294898987,35,0.005931854248050428,35.1,35.60303746133393,35
13.74713802337647,35,0.006375074386600232,35.0,35.57288558826723,35
13.75407600402832,35,0.00693798065185014,35.0,35.54424130885387,35
13.75945591926575,35,0.0053799152374303105,35.0,35.51702924341117,35
13.76509308815002,35,0.005637168884270238,35.0,35.491177781240616,35
13.77142810821533,35,0.0063350200653093935,35.0,35.46661889217858,35
13.77761888504028,35,0.0061907768249493955,35.0,35.44328794756965,35
13.78351306915283,35,0.0058941841125506045,35.0,35.42112355019117,35
13.789057970047,35,0.005544900894170368,35.0,35.40006737268161,35
13.7947518825531,35,0.005693912506099963,35.0,35.38006400404753,35
13.80044388771057,35,0.005692005157468927,35.0,35.361060803845156,35
13.80626201629639,35,0.005818128585820759,35.0,35.3430077636529,35
13.81437492370606,35,0.008112907409669745,35.0,35.32585737547025,35
13.821613073349,35,0.007238149642940783,35.0,35.30956450669674,35
13.82801198959351,35,0.006398916244508612,35.0,35.2940862813619,35
13.83485889434815,35,0.006846904754640448,35.0,35.2793819672938,35
13.84169888496399,35,0.0068399906158393975,35.0,35.26541286892911,35
13.84638810157776,35,0.004689216613771308,35.0,35.25214222548266,35
13.85367298126221,35,0.0072848796844500185,35.0,35.23953511420852,35
13.85889291763306,35,0.005219936370849609,35.0,35.227558358498094,35
13.86540198326111,35,0.0065090656280499815,35.0,35.21618044057319,35
13.87259101867676,35,0.007189035415649414,35.0,35.20537141854453,35
13.87955093383789,35,0.006959915161131036,35.0,35.1951028476173,35
13.88621306419373,35,0.006662130355838514,35.0,35.18534770523643,35
13.89362001419068,35,0.0074069499969500185,35.0,35.17608031997461,35
13.89701008796692,35,0.0033900737762415645,35.0,35.167276303975875,35
13.9037389755249,35,0.006728887557979846,35.0,35.15891248877708,35
13.90827608108521,35,0.00453710556030984,35.0,35.15096686433822,35
13.91760110855103,35,0.009325027465820312,35.0,35.14341852112131,35
13.92488408088684,35,0.007282972335810101,35.0,35.13624759506524,35
13.9314820766449,35,0.006597995758058417,35.0,35.12943521531198,35
13.93731498718262,35,0.005832910537721503,35.0,35.12296345454638,35
13.94487690925598,35,0.007561922073358929,35.0,35.11681528181906,35
13.94896006584168,35,0.004083156585700465,35.0,35.1109745177281,35
13.95459389686585,35,0.005633831024169922,35.0,35.1054257918417,35
13.96056389808655,35,0.005970001220699572,35.0,35.10015450224961,35
13.96714091300964,35,0.006577014923090374,35.0,35.095146777137124,35
13.97520399093628,35,0.008063077926639295,35.0,35.09038943828027,35
13.98170804977417,35,0.006504058837890625,35.0,35.08586996636625,35
13.98801898956299,35,0.006310939788820136,35.0,35.08157646804794,35
13.99497509002686,35,0.00695610046387074,35.0,35.07749764464554,35
14.0012629032135,35,0.006287813186638402,35.0,35.07362276241326,35
14.00839400291443,35,0.007131099700931287,35.0,35.069941624292596,35
14.01549005508423,35,0.007096052169799805,35.0,35.066444543077964,35
14.01951098442078,35,0.004020929336549628,35.0,35.06312231592406,35
14.02495193481445,35,0.005440950393669652,35.0,35.05996620012786,35
14.03155088424683,34,0.006598949432380152,35.0,35.006967890121466,34
14.03715300559998,35,0.005602121353149414,34.9,35.00661949561539,35
14.04465103149414,35,0.007498025894161486,34.9,35.006288520834616,35
14.04913210868836,35,0.004481077194219196,34.9,35.00597409479288,35
14.05556797981262,35,0.006435871124260473,34.9,35.005675390053234,35
14.06204891204834,35,0.00648093223571955,34.9,35.00539162055057,35
14.06930589675903,35,0.007256984710689807,34.9,35.00512203952304,35
14.07690811157227,35,0.007602214813239527,34.9,35.00486593754688,35
14.08444595336914,35,0.007537841796871447,34.9,35.00462264066954,35
14.09099197387695,35,0.006546020507808947,34.9,35.00439150863606,35
14.09759902954102,35,0.006607055664069605,34.9,35.004171933204255,35
14.10628700256348,35,0.008687973022460938,35.0,35.00396333654404,35
14.11415696144104,35,0.007869958877559924,35.0,35.003765169716836,35
14.11769795417786,35,0.003540992736819959,35.0,35.003576911230994,35
14.12402296066284,35,0.0063250064849800225,35.0,35.003398065669444,35
14.12941694259644,34,0.005393981933600855,35.0,34.953228162385976,34
14.13656806945801,35,0.007151126861568713,34.9,34.95556675426668,35
14.14438009262085,35,0.0078120231628400205,34.9,34.95778841655334,35
14.14771199226379,35,0.0033318996429407832,34.9,34.95989899572567,35
14.15443205833435,35,0.006720066070560193,34.9,34.96190404593939,35
14.16034007072449,34,0.0059080123901402715,34.9,34.91380884364242,34
14.16631102561951,34,0.005970954895019531,34.8,34.8681184014603,34
14.17424702644348,35,0.00793600082396928,34.7,34.874712481387284,35
14.18033194541931,34,0.006084918975830078,34.7,34.83097685731792,34
14.19068598747254,34,0.010354042053229762,34.6,34.78942801445203,34
14.19495105743408,35,0.004265069961540746,34.5,34.79995661372943,35
14.20086097717285,35,0.005909919738769531,34.6,34.80995878304296,35
14.20681691169739,34,0.0059559345245396855,34.6,34.76946084389081,34
