IAElist=calc,Referanse=calc,HastighetMotorA=meas,Ts=calc,Filtrert_Avvik=calc,Filtrert_Avvik_Derivert=calc,PowerA=calc,HastighetMotorD=meas,PowerD=calc,VinkelPosMotorA=meas,MAElist=calc,abs_Avvik=calc,TvD=calc,Avvik=calc,VinkelPosMotorD=meas,Lys=meas,Integrert_Avvik=calc,Tid=meas,TvA=calc
Lys0=36
0,36,0,0.005,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
0,36,0,0.007622003555297852,0,0,20.0,0,20.0,0,0,0,20.0,0,0,36,0,0.007622003555297852,20.0
0,36,3,0.006331920623779297,0,0,20.0,0,20.0,1,0,0,20.0,0,0,36,0,0.01395392417907715,20.0
0,36,3,0.006963014602661133,0,0,20.0,0,20.0,1,0,0,20.0,0,0,36,0,0.02091693878173828,20.0
0,36,3,0.00780797004699707,0,0,20.0,3,20.0,1,0,0,20.0,0,1,36,0,0.02872490882873535,20.0
0,36,6,0.01666402816772461,0,0,20.0,8,20.0,1,0,0,20.0,0,1,36,0,0.04538893699645996,20.0
0,36,11,0.005463123321533203,0,0,20.0,8,20.0,2,0,0,20.0,0,1,36,0,0.05085206031799316,20.0
0,36,23,0.006960868835449219,0,0,20.0,41,20.0,2,0,0,20.0,0,2,36,0,0.05781292915344238,20.0
0,36,43,0.007951021194458008,0,0,20.0,51,20.0,3,0,0,20.0,0,3,36,0,0.06576395034790039,20.0
0,36,74,0.006284952163696289,0,0,20.0,63,20.0,3,0,0,20.0,0,3,36,0,0.07204890251159668,20.0
0,36,85,0.007385969161987305,0,0,20.0,79,20.0,4,0,0,20.0,0,4,36,0,0.07943487167358398,20.0
0,36,100,0.01688599586486816,0,0,20.0,93,20.0,6,0,0,20.0,0,5,36,0,0.09632086753845215,20.0
0,36,92,0.003806114196777344,0,0,20.0,99,20.0,6,0,0,20.0,0,6,36,0,0.1001269817352295,20.0
0,36,96,0.006048917770385742,0,0,20.0,96,20.0,7,0,0,20.0,0,7,36,0,0.1061758995056152,20.0
0,36,101,0.005918025970458984,0,0,20.0,98,20.0,7,0,0,20.0,0,7,36,0,0.1120939254760742,20.0
0,36,104,0.00624394416809082,0,0,20.0,103,20.0,8,0,0,20.0,0,8,36,0,0.118337869644165,20.0
0,36,104,0.009767055511474609,0,0,20.0,106,20.0,9,0,0,20.0,0,9,36,0,0.1281049251556396,20.0
0.01026511192321777,36,105,0.01026511192321777,0.02,0.3896693996051562,17.92206612007897,107,22.07793387992103,10,0,1,22.07793387992103,1,10,35,0,0.1383700370788574,22.07793387992103
0.01026511192321777,36,105,0.008232831954956055,0.0196,-0.00971719092988911,19.99988523019724,107,20.00011476980276,11,0.05555555555555555,0,24.1557529900393,0,11,36,0.004116415977478027,0.1466028690338135,24.1557529900393
0.01843929290771484,36,99,0.00817418098449707,0.039208,0.4797544864051334,17.90199089473023,107,22.09800910526977,12,0.05263157894736842,1,26.25364732550631,1,12,35,0.004116415977478027,0.1547770500183105,26.25364732550631
0.02701616287231445,36,99,0.008576869964599609,0.05842384000000001,0.4480851424660034,17.90618054602691,107,22.09381945397309,13,0.1,1,26.25783697680299,1,13,35,0.008404850959777832,0.1633539199829102,26.25783697680299
0.03239727020263672,36,99,0.005381107330322266,0.07725536320000002,0.6999125660952842,17.85446978446847,107,22.14553021553153,13,0.1428571428571428,1,26.30954773836142,1,13,35,0.01109540462493896,0.1687350273132324,26.30954773836142
0.04321432113647461,36,86,0.01081705093383789,0.09571025593600002,0.3412185603798799,17.9235043228781,109,22.07649567712191,14,0.1818181818181818,1,26.37858227677104,1,15,35,0.01650393009185791,0.1795520782470703,26.37858227677104
0.04321432113647461,36,79,0.007704019546508789,0.09379605081728,-0.04969367243071089,19.99976076455359,109,20.00023923544642,15,0.2173913043478261,0,28.45483871844653,0,15,36,0.0203559398651123,0.1872560977935791,28.45483871844653
0.04321432113647461,36,79,0.007377862930297852,0.09192012980093439,-0.05085269363414088,19.99999256879427,112,20.00000743120573,15,0.2083333333333333,0,28.45507052268722,0,16,36,0.0203559398651123,0.194633960723877,28.45507052268722
0.04321432113647461,36,78,0.005695104598999023,0.09008172720491569,-0.06456080179253653,20.00273419042595,114,19.99726580957405,15,0.2,0,28.4578121443189,0,17,36,0.0203559398651123,0.200329065322876,28.4578121443189
0.04321432113647461,36,80,0.006623983383178711,0.08828009266081738,-0.05439731472375016,20.00070149301219,115,19.99929850698781,16,0.1923076923076923,0,28.45984484173266,0,18,36,0.0203559398651123,0.2069530487060547,28.45984484173266
0.04321432113647461,36,83,0.007539987564086914,0.08651449080760102,-0.04683301764649961,19.99918863359675,117,20.00081136640325,17,0.1851851851851852,0,28.4613577011481,0,19,36,0.0203559398651123,0.2144930362701416,28.4613577011481
0.04321432113647461,36,83,0.003783941268920898,0.08478420099144902,-0.09145436956771054,20.00811290398099,118,19.99188709601901,17,0.1785714285714286,0,28.47028197153234,0,19,36,0.0203559398651123,0.2182769775390625,28.47028197153234
0.04321432113647461,36,98,0.009211063385009766,0.08308851697162002,-0.03681842039190768,19.99718571414583,121,20.00281428585418,18,0.1724137931034483,0,28.48120916136751,0,20,36,0.0203559398651123,0.2274880409240723,28.48120916136751
0.04321432113647461,36,91,0.004103899002075195,0.08142674663218761,-0.08098495302112006,20.00601902067167,123,19.99398097932833,19,0.1666666666666667,0,28.49004246789335,0,21,36,0.0203559398651123,0.2315919399261475,28.49004246789335
0.04321432113647461,36,98,0.006757020950317383,0.07979821169954386,-0.04820274924757371,19.99946257991696,125,20.00053742008304,19,0.1612903225806452,0,28.49659890864806,0,22,36,0.0203559398651123,0.2383489608764648,28.49659890864806
0.04321432113647461,36,104,0.007342100143432617,0.07820224746555299,-0.04347432486108042,19.99851689503966,126,20.00148310496034,20,0.15625,0,28.49754459352536,0,23,36,0.0203559398651123,0.2456910610198975,28.49754459352536
0.04321432113647461,36,107,0.00845789909362793,0.07663820251624193,-0.03698424235137522,19.99721887853772,127,20.00278112146228,21,0.1515151515151515,0,28.4988426100273,0,24,36,0.0203559398651123,0.2541489601135254,28.4988426100273
0.05249142646789551,36,117,0.009277105331420898,0.09510543846591711,0.3981249601021118,17.91019703804702,128,22.08980296195298,22,0.1470588235294118,1,30.585864450518,1,25,35,0.0203559398651123,0.2634260654449463,30.585864450518
0.06119132041931152,36,119,0.008699893951416016,0.1132033296965988,0.4160485479880132,17.90443734698199,129,22.09556265301801,23,0.1714285714285714,1,30.59162414158303,1,26,35,0.02470588684082031,0.2721259593963623,30.59162414158303
0.06795644760131836,36,119,0.006765127182006836,0.1309392631026668,0.5243340717448788,17.88108896043511,130,22.11891103956489,24,0.1944444444444444,1,30.61497252812991,1,27,35,0.02808845043182373,0.2788910865783691,30.61497252812991
0.07591342926025391,36,119,0.007956981658935547,0.1483204778406134,0.4368795978919435,17.89659060979097,131,22.10340939020904,25,0.2162162162162162,1,30.63047417748576,1,28,35,0.0320669412612915,0.2868480682373047,30.63047417748576
0.08314228057861328,36,117,0.007228851318359375,0.1653540682838011,0.4712668636558314,17.8879059438086,133,22.1120940561914,26,0.2368421052631579,1,30.63915884346813,1,29,35,0.03568136692047119,0.2940769195556641,30.63915884346813
0.1031365394592285,36,115,0.009997129440307617,0.2020469869181251,0.7340690916010569,15.83284621585948,135,24.16715378414052,27,0.2564102564102564,2,32.69421857141726,2,30,34,0.040679931640625,0.3040740489959717,32.69421857141726
0.1147403717041016,36,113,0.005801916122436523,0.2380060471797626,1.239558087459439,15.72884745862658,134,24.27115254137342,27,0.3,2,32.79821732865015,2,31,34,0.04648184776306152,0.3098759651184082,32.79821732865015
0.1323204040527344,36,109,0.008790016174316406,0.2732459262361673,0.8018160230324105,15.81200086342483,133,24.18799913657518,29,0.3414634146341464,2,32.88137073344839,2,32,34,0.05527186393737793,0.3186659812927246,32.88137073344839
