TvA=calc,IAElist=calc,HastighetMotorA=meas,Ts=calc,Referanse=calc,PowerA=calc,HastighetMotorD=meas,MAElist=calc,PowerD=calc,VinkelPosMotorA=meas,Avvik=calc,abs_Avvik=calc,Avvik_Integrert=calc,TvD=calc,VinkelPosMotorD=meas,Lys=meas,Derivert_Avvik_IIR=calc,Avvik_IIR=calc,Tid=meas
Lys0=34
22.26030368950245,-0.039695978164672796,95,0.005449056625366183,34,22.14108858873304,125,-0.18518518518518517,17.85891141126696,16,-1,1,-0.016759991645813002,22.26030368950245,19,35,-0.6635429645506797,-0.11415761913599999,0.2013120651245117
22.27002289561969,-0.044715881347656194,95,0.0050199031829833984,34,22.15080779485028,123,-0.21428571428571427,17.84919220514972,16,-1,1,-0.0192699432373047,22.27002289561969,20,35,-0.7058641161581379,-0.13187446675328,0.2063319683074951
22.29388739813087,-0.050712823867797796,100,0.0059969425201416016,34,22.1269432923391,123,-0.2413793103448276,17.8730567076609,17,-1,1,-0.022268414497375502,22.29388739813087,20,35,-0.5790454254520491,-0.14923697741821437,0.2123289108276367
22.295626047636762,-0.05657601356506339,100,0.005863189697265597,34,22.12868194184499,123,-0.26666666666666666,17.87131805815501,17,-1,1,-0.0252000093460083,22.295626047636762,21,35,-0.5804096858599365,-0.16625223786985008,0.2181921005249023
22.321873101235024,-0.06416082382202151,107,0.007584810256958119,34,22.10243488824673,124,-0.2903225806451613,17.89756511175327,18,-1,1,-0.02899241447448736,22.321873101235024,22,35,-0.4396934050474312,-0.18292719311245306,0.2257769107818604
22.361946471627466,-0.06931900978088382,108,0.005158185958862305,34,22.14250825863917,124,-0.3125,17.85749174136083,19,-1,1,-0.03157150745391851,22.361946471627466,23,35,-0.6336125245610655,-0.199268649250204,0.2309350967407227
22.406536621251668,-0.07731294631958,110,0.007993936538696178,34,22.09791810901497,125,-0.3333333333333333,17.90208189098503,20,-1,1,-0.0355684757232666,22.406536621251668,24,35,-0.4006693557666873,-0.21528327626519989,0.2389290332794189
22.48419024535693,-0.08131694793701172,110,0.004004001617431724,34,22.175571733120233,125,-0.35294117647058826,17.824428266879767,20,-1,1,-0.037570476531982464,22.48419024535693,24,35,-0.7839324742712145,-0.23097761073989587,0.2429330348968506
22.531914052475404,-0.0870327949523925,116,0.005715847015380776,34,22.12784792600176,125,-0.37142857142857144,17.87215207399824,21,-1,1,-0.04042840003967285,22.531914052475404,25,35,-0.5381686299096112,-0.24635805852509793,0.2486488819122314
22.533285143067747,-0.09263586997985843,118,0.005603075027465931,34,22.129219016594103,124,-0.3888888888888889,17.870780983405897,22,-1,1,-0.04322993755340582,22.533285143067747,26,35,-0.5380202390869977,-0.26143089735459596,0.2542519569396973
24.599351032641973,-0.10884213447570804,119,0.008103132247924805,34,24.19528490616833,124,-0.40540540540540543,15.804715093831671,22,-2,2,-0.04728150367736822,24.599351032641973,27,36,-0.8582207716482205,-0.296202279407504,0.2623550891876221
26.68054184203067,-0.11529707908630368,121,0.006454944610595648,34,22.11409409677963,124,-0.4473684210526316,17.88590590322037,23,-1,1,-0.05373644828796387,26.68054184203067,28,35,-0.436129363178255,-0.31027823381935393,0.2688100337982178
26.696418074912156,-0.12072014808654782,122,0.005423069000244141,34,22.129970329661116,124,-0.46153846153846156,17.870029670338884,24,-1,1,-0.05644798278808594,26.696418074912156,28,35,-0.5087316913353638,-0.32407266914296684,0.2742331027984619
26.731052417579257,-0.12903499603271482,119,0.008314847946166992,34,22.095335986994016,124,-0.475,17.904664013005984,25,-1,1,-0.060605406761169434,26.731052417579257,29,35,-0.3251664180671523,-0.33759121576010753,0.2825479507446289
28.81579533816702,-0.14706516265869138,117,0.009015083312988281,34,24.18007890758178,124,-0.4878048780487805,15.819921092418218,26,-2,2,-0.06511294841766357,28.81579533816702,30,36,-0.7376121668647532,-0.37083939144490535,0.2915630340576172
28.849154057948617,-0.16177511215209958,116,0.0073549747467041016,34,24.213437627363376,124,-0.5238095238095238,15.786562372636622,27,-2,2,-0.07246792316436768,28.849154057948617,31,36,-0.8860183289059699,-0.40342260361600724,0.2989180088043213
28.897342672239958,-0.17325496673583982,114,0.005739927291870117,34,24.261626241654717,124,-0.5581395348837209,15.738373758345283,28,-2,2,-0.07820785045623779,28.897342672239958,32,36,-1.1126115821329945,-0.43535415154368706,0.3046579360961914
28.936314659713055,-0.18715715408325204,114,0.00695109367370611,34,24.22265425418162,123,-0.5909090909090909,15.777345745818378,28,-2,2,-0.0851589441299439,28.936314659713055,33,36,-0.9003739105832479,-0.4666470685128133,0.3116090297698975
29.0895390954189,-0.19455909729003903,112,0.003700971603393499,34,24.375878689887465,122,-0.6222222222222222,15.624121310112535,28,-2,2,-0.0888599157333374,29.0895390954189,33,36,-1.6572436601039822,-0.497314127142557,0.315310001373291
29.251438709599913,-0.2090492248535156,112,0.007245063781738281,34,24.21397907570645,121,-0.6521739130434783,15.786020924293549,29,-2,2,-0.09610497951507568,29.251438709599913,34,36,-0.8296329297445654,-0.5273678445997059,0.3225550651550293
29.28247946457243,-0.22119903564453122,112,0.0060749053955078125,34,24.245019830678967,118,-0.6808510638297872,15.754980169321033,30,-2,2,-0.1021798849105835,29.28247946457243,35,36,-0.9696494411183791,-0.5568204877077118,0.3286299705505371
29.287250329367552,-0.23299503326416024,115,0.005897998809814509,34,24.24979069547409,117,-0.7083333333333334,15.75020930452591,31,-2,2,-0.108077883720398,29.287250329367552,36,36,-0.9787587680694564,-0.5856840779535576,0.3345279693603516
29.330935262402683,-0.24825906753540036,118,0.007632017135620062,34,24.20610576243896,116,-0.7346938775510204,15.793894237561041,32,-2,2,-0.11570990085601807,29.330935262402683,36,36,-0.7412540600547477,-0.6139703963944865,0.3421599864959717
29.37161392118137,-0.26018524169921886,119,0.005963087081909235,34,24.246784421217647,115,-0.76,15.753215578782354,32,-2,2,-0.1216729879379273,29.37161392118137,37,36,-0.9297396362434086,-0.6416909884665968,0.3481230735778809
29.45102983811832,-0.26843929290771484,122,0.004127025604247991,34,24.326200338154596,115,-0.7843137254901961,15.673799661845404,33,-2,2,-0.1258000135421753,29.451029838118323,37,36,-1.3165016569175458,-0.6688571686972649,0.3522500991821289
31.35786874229712,-0.3024561405181885,123,0.011338949203491211,34,26.233039242333398,114,-0.8076923076923077,13.766960757666602,34,-3,3,-0.1371389627456665,31.357868742297125,38,37,-0.8223488048028248,-0.7154800253233196,0.3635890483856201
31.459485646121035,-0.32347679138183577,121,0.007006883621215765,34,26.33465614615731,113,-0.8490566037735849,13.665343853842689,35,-3,3,-0.14764928817749015,31.45948564612104,40,37,-1.304157510342832,-0.7611704248168532,0.3705959320068359
31.6286345348652,-0.33606529235839827,120,0.0041961669921875,34,26.503805034901475,112,-0.8888888888888888,13.496194965098525,36,-3,3,-0.1539435386657714,31.628634534865203,40,37,-2.1341663278429452,-0.805947016320516,0.3747920989990234
31.754918496078343,-0.3538486957550049,122,0.005927801132202204,34,26.37752107368833,112,-0.9272727272727272,13.622478926311668,36,-3,3,-0.1628352403640747,31.754918496078346,40,37,-1.480517267531466,-0.8498280759941057,0.3807199001312256
31.803092915299004,-0.37511897087097185,123,0.007090091705322321,34,26.32934665446767,109,-0.9642857142857143,13.670653345532331,37,-3,3,-0.1734703779220582,31.80309291529901,41,37,-1.2130573275331966,-0.8928315144742236,0.3878099918365479
31.822369865768195,-0.39479923248291,126,0.006560087203979381,34,26.34862360493686,107,-1.0,13.651376395063139,38,-3,3,-0.18331050872802726,31.822369865768202,42,37,-1.2848417528642364,-0.9349748841847392,0.3943700790405273
31.822645121020997,-0.41444015502929704,127,0.006546974182129017,34,26.348898860189664,107,-1.0344827586206897,13.651101139810336,39,-3,3,-0.1931309700012208,31.822645121021004,42,37,-1.261666875945265,-0.9762753865010443,0.4009170532226563
31.853741322136266,-0.4369671344757082,128,0.007508993148803711,34,26.317802659074395,104,-1.0677966101694916,13.682197340925605,40,-3,3,-0.20439445972442635,31.853741322136273,43,37,-1.0780271460609145,-1.0167498787710234,0.40842604637146
33.83254857944904,-0.4886467456817624,131,0.01291990280151356,34,28.296609916387172,100,-1.1,11.703390083612828,42,-4,4,-0.2237743139266967,33.83254857944905,45,38,-0.9236137971191204,-1.076414881195603,0.4213459491729736
33.914707767024645,-0.5249350070953369,134,0.00907206535339361,34,28.378769103962778,98,-1.1475409836065573,11.621230896037222,43,-4,4,-0.24191844463348391,33.91470776702466,46,38,-1.289049408230183,-1.1348865835716908,0.4304180145263672
33.93775478897871,-0.5585873126983643,136,0.008413076400756836,34,28.401816125916838,98,-1.1935483870967742,11.59818387408316,44,-4,4,-0.25874459743499756,33.93775478897872,46,38,-1.3622191359967049,-1.192188851900257,0.438831090927124
36.056916742135044,-0.5888898372650146,138,0.010100841522216797,34,26.2826541727605,95,-1.2380952380952381,13.717345827239502,46,-3,3,-0.27894628047943115,36.056916742135066,47,37,-0.7159051626039147,-1.228345074862252,0.4489319324493408
38.165452652463756,-0.6251018047332766,139,0.009052991867065485,34,28.39119008308921,91,-1.265625,11.60880991691079,47,-4,4,-0.2925257682800294,38.16545265246378,48,38,-1.2246359947459773,-1.2837781733650069,0.4579849243164063
38.17023610383039,-0.6627738475799563,140,0.009418010711669922,34,28.386406631722576,88,-1.3076923076923077,11.613593368277424,48,-4,4,-0.31136178970336925,38.17023610383041,49,38,-1.1536286843544576,-1.3381026098977067,0.4674029350280762
40.25540732959837,-0.6921529769897463,136,0.00979304313659668,34,26.3012354059546,86,-1.3484848484848484,13.6987645940454,50,-3,3,-0.3309478759765626,40.255407329598384,50,37,-0.6788073398315881,-1.3713405576997526,0.4771959781646729
42.233611837003544,-0.7781209945678711,134,0.021492004394531194,34,28.279439913359774,85,-1.373134328358209,11.720560086640228,52,-4,4,-0.3631858825683594,42.23361183700356,52,38,-0.4892348603779617,-1.4239137465457576,0.4986879825592041
44.19182329462381,-0.8072333335876465,136,0.009704113006591797,34,26.321228455739508,85,-1.411764705882353,13.678771544260492,54,-3,3,-0.38259410858154297,44.19182329462382,52,37,-0.6496570072436888,-1.4554354716148425,0.5083920955657959
46.35512943775131,-0.835512638092041,136,0.007069826126098633,34,28.484534598867008,87,-1.434782608695652,11.515465401132992,55,-4,4,-0.3931988477706909,46.35512943775132,53,38,-1.4396758749083063,-1.5063267621825458,0.5154619216918945
46.412479465579686,-0.8715252876281738,136,0.009003162384033203,34,28.42718457103863,88,-1.4714285714285715,11.572815428961368,56,-4,4,-0.4112051725387573,46.4124794655797,54,38,-1.1079099238462673,-1.5562002269388948,0.5244650840759277
46.417681350500445,-0.9074292182922363,136,0.008975982666015625,34,28.43238645595939,88,-1.5070422535211268,11.56761354404061,57,-4,4,-0.4291571378707886,46.41768135050046,54,38,-1.0890394351199841,-1.605076222400117,0.5334410667419434
46.4336957723733,-0.947385311126709,138,0.009989023208618164,34,28.416372034086535,89,-1.5416666666666667,11.583627965913465,58,-4,4,-0.4491351842880249,46.43369577237331,56,38,-0.959022209712612,-1.6529746979521147,0.5434300899505615
