abs_avik=calc,Referanse=calc,PowerD=calc,avvik=calc,joySide=meas,Ts=calc,Tid=meas,TvD=calc,Lys=meas,MAEList=calc,TvA=calc,joyForward=meas,IAEList=calc,PowerA=calc
Lys0=36
,36,0,0,0,0.005,0,0,36,0,0,0,0,0
,36,0,0,0,0.04583191871643066,0.04583191871643066,0,36,0,0,0,0,0
,36,0,0,0,0.03762197494506836,0.08345389366149902,0,36,0,0,0,0,0
,36,0,0,0,0.03453803062438965,0.1179919242858887,0,36,0,0,0,0,0
,36,0,-1,0,0.03769207000732422,0.1556839942932129,0,37,0,0,0,0.03769207000732422,0
,36,0,0,0,0.03692388534545898,0.1926078796386719,0,36,-0.2,0,0,0.03769207000732422,0
,36,0,0,0,0.03693604469299316,0.229543924331665,0,36,-0.1666666666666667,0,0,0.03769207000732422,0
,36,0,0,0,0.02979207038879395,0.259335994720459,0,36,-0.1428571428571428,0,0,0.03769207000732422,0
,36,0,0,0,0.02815794944763184,0.2874939441680908,0,36,-0.125,0,0,0.03769207000732422,0
,36,0,0,0,0.02981305122375488,0.3173069953918457,0,36,-0.1111111111111111,0,0,0.03769207000732422,0
,36,0,0,0,0.02520084381103516,0.3425078392028809,0,36,-0.1,0,0,0.03769207000732422,0
,36,0,0,0,0.02689218521118164,0.3694000244140625,0,36,-0.09090909090909092,0,0,0.03769207000732422,0
,36,0,0,0,0.02871489524841309,0.3981149196624756,0,36,-0.08333333333333332,0,0,0.03769207000732422,0
,36,0,0,0,0.03200602531433105,0.4301209449768066,0,36,-0.07692307692307693,0,0,0.03769207000732422,0
,36,0,0,0,0.02786493301391602,0.4579858779907227,0,36,-0.07142857142857142,0,0,0.03769207000732422,0
,36,0,0,0,0.02721714973449707,0.4852030277252197,0,36,-0.06666666666666666,0,0,0.03769207000732422,0
,36,0,0,0,0.03024792671203613,0.5154509544372559,0,36,-0.0625,0,0,0.03769207000732422,0
,36,0,0,0,0.03540992736816406,0.5508608818054199,0,36,-0.05882352941176471,0,0,0.03769207000732422,0
,36,0,0,0,0.02825808525085449,0.5791189670562744,0,36,-0.05555555555555555,0,0,0.03769207000732422,0
,36,0,0,0,0.02717399597167969,0.6062929630279541,0,36,-0.05263157894736842,0,0,0.03769207000732422,0
,36,0,0,0,0.02899789810180664,0.6352908611297607,0,36,-0.05,0,0,0.03769207000732422,0
,36,0,0,0,0.02762103080749512,0.6629118919372559,0,36,-0.04761904761904762,0,0,0.03769207000732422,0
,36,0,0,0,0.02999210357666016,0.692903995513916,0,36,-0.04545454545454546,0,0,0.03769207000732422,0
,36,0,1,0,0.03369593620300293,0.7265999317169189,0,35,-0.04347826086956522,0,0,0.07138800621032715,0
,36,0,1,0,0.02549409866333008,0.752094030380249,0,35,0,0,0,0.09688210487365723,0
,36,0,1,0,0.03250288963317871,0.7845969200134277,0,35,0.04,0,0,0.1293849945068359,0
,36,0,1,0,0.02576899528503418,0.8103659152984619,0,35,0.07692307692307693,0,0,0.1551539897918701,0
,36,0,1,0,0.02956008911132813,0.83992600440979,0,35,0.1111111111111111,0,0,0.1847140789031982,0
,36,0,1,0,0.02771186828613281,0.8676378726959229,0,35,0.1428571428571428,0,0,0.2124259471893311,0
,36,0,1,0,0.02829408645629883,0.8959319591522217,0,35,0.1724137931034483,0,0,0.2407200336456299,0
,36,0,1,0,0.02891993522644043,0.9248518943786621,0,35,0.2,0,0,0.2696399688720703,0
,36,0,1,0,0.02992606163024902,0.9547779560089111,0,35,0.2258064516129032,0,0,0.2995660305023193,0
,36,0,1,0,0.028594970703125,0.9833729267120361,0,35,0.25,0,0,0.3281610012054443,0
,36,0,1,0,0.03633403778076172,1.019706964492798,0,35,0.2727272727272727,0,0,0.3644950389862061,0
,36,0,1,0,0.02555108070373535,1.045258045196533,0,35,0.2941176470588236,0,0,0.3900461196899414,0
,36,0,0,0,0.03694581985473633,1.08220386505127,0,36,0.3142857142857143,0,0,0.3900461196899414,0
,36,2.442740520332646,0,-5.860990310521097,0.03811311721801758,1.120316982269287,2.442740520332646,36,0.3055555555555556,1.659952697032122,0.7827878233005237,0.3900461196899414,-1.659952697032122
,36,2.032578011749448,0,-4.689097428854816,0.03255391120910645,1.152870893478394,2.852903028915843,36,0.2972972972972973,2.07011520561532,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03003907203674316,1.182909965515137,2.852903028915843,36,0.2894736842105263,2.07011520561532,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03187298774719238,1.214782953262329,2.852903028915843,36,0.282051282051282,2.07011520561532,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.02776503562927246,1.242547988891602,2.852903028915843,36,0.275,2.07011520561532,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.237659266041046,0,-5.275043869687956,0.02888393402099609,1.271431922912598,3.057984283207442,36,0.2682926829268293,2.275196459906919,0.7827878233005237,0.3900461196899414,-1.454871442740523
,36,2.618524452582593,0,-4.689097428854816,0.03183913230895996,1.303271055221558,3.438849469748989,36,0.2619047619047619,3.066224155031664,1.954680704966816,0.3900461196899414,-0.6638437476157777
,36,2.618524452582593,0,-4.689097428854816,0.02756285667419434,1.330833911895752,3.438849469748989,36,0.2558139534883721,3.066224155031664,1.954680704966816,0.3900461196899414,-0.6638437476157777
,36,2.032578011749448,0,-4.689097428854816,0.03584003448486328,1.366673946380615,4.024795910582135,36,0.25,3.65217059586481,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03013491630554199,1.396808862686157,4.024795910582135,36,0.2444444444444444,3.65217059586481,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03045916557312012,1.427268028259277,4.024795910582135,36,0.2391304347826087,3.65217059586481,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.237659266041046,0,-5.275043869687956,0.03001880645751953,1.457286834716797,4.229877164873734,36,0.2340425531914894,3.857251850156409,0.7827878233005237,0.3900461196899414,-1.454871442740523
,36,2.237659266041046,0,-5.275043869687956,0.03104710578918457,1.488333940505981,4.229877164873734,36,0.2291666666666667,3.857251850156409,0.7827878233005237,0.3900461196899414,-1.454871442740523
