abs_avik=calc,avvik=calc,PowerD=calc,joySide=meas,Ts=calc,Tid=meas,joyForward=meas,TvD=calc,Lys=meas,Referanse=calc,TvA=calc,MAEList=calc,IAEList=calc,PowerA=calc
Lys0=36
,0,0.234375,-2.34375,0.005,0,-1.171875,0.234375,36,,1.40625,0,0,-1.40625
,0,2.9296875,0,0.02099800109863281,0.02099800109863281,5.859375,2.6953125,36,,4.3359375,0,0,2.9296875
,0,3.02734375,0,0.01411294937133789,0.0351109504699707,6.0546875,0.09765625,36,,0.09765625,0,0,3.02734375
,0,3.90625,0,0.01805996894836426,0.05317091941833496,7.8125,0.87890625,36,,0.87890625,0,0,3.90625
,-1,3.90625,0,0.01018714904785156,0.06335806846618652,7.8125,0,37,,0,0,0.01018714904785156,3.90625
,-1,3.90625,0,0.01514196395874023,0.07850003242492676,7.8125,0,37,,0,-0.2,0.0253291130065918,3.90625
,0,3.90625,0,0.01675009727478027,0.09525012969970703,7.8125,0,36,,0,-0.3333333333333333,0.0253291130065918,3.90625
,-1,3.90625,0,0.01016497611999512,0.1054151058197021,7.8125,0,37,,0,-0.2857142857142857,0.03549408912658691,3.90625
,-1,3.90625,0,0.02077102661132813,0.1261861324310303,7.8125,0,37,,0,-0.375,0.05626511573791504,3.90625
,-1,3.90625,0,0.007683992385864258,0.1338701248168945,7.8125,0,37,,0,-0.4444444444444445,0.0639491081237793,3.90625
,-1,3.90625,0,0.01004290580749512,0.1439130306243896,7.8125,0,37,,0,-0.5,0.07399201393127441,3.90625
,0,3.90625,0,0.01477694511413574,0.1586899757385254,7.8125,0,36,,0,-0.5454545454545454,0.07399201393127441,3.90625
,0,3.90625,0,0.01000308990478516,0.1686930656433105,7.8125,0,36,,0,-0.5,0.07399201393127441,3.90625
,-1,3.90625,0,0.006111860275268555,0.1748049259185791,7.8125,0,37,,0,-0.4615384615384616,0.08010387420654297,3.90625
,-1,3.90625,0,0.01163601875305176,0.1864409446716309,7.8125,0,37,,0,-0.5,0.09173989295959473,3.90625
,0,3.90625,0,0.01534914970397949,0.2017900943756104,7.8125,0,36,,0,-0.5333333333333333,0.09173989295959473,3.90625
,0,4.58984375,0,0.02358889579772949,0.2253789901733398,9.1796875,0.68359375,36,,0.68359375,-0.5,0.09173989295959473,4.58984375
,-1,4.58984375,0,0.008016109466552734,0.2333950996398926,9.1796875,0,37,,0,-0.4705882352941177,0.09975600242614746,4.58984375
,0,5.859375,0,0.02189803123474121,0.2552931308746338,11.71875,1.26953125,36,,1.26953125,-0.5,0.09975600242614746,5.859375
,-1,5.859375,0,0.00792694091796875,0.2632200717926025,11.71875,0,37,,0,-0.4736842105263158,0.1076829433441162,5.859375
,0,6.640625,0,0.0142219066619873,0.2774419784545898,13.28125,0.78125,36,,0.78125,-0.5,0.1076829433441162,6.640625
,-1,6.640625,0,0.009779930114746094,0.2872219085693359,13.28125,0,37,,0,-0.4761904761904762,0.1174628734588623,6.640625
,0,6.640625,0,0.009469032287597656,0.2966909408569336,13.28125,0,36,,0,-0.5,0.1174628734588623,6.640625
,0,6.640625,0,0.01716518402099609,0.3138561248779297,13.28125,0,36,,0,-0.4782608695652174,0.1174628734588623,6.640625
,0,6.640625,0,0.007500886917114258,0.3213570117950439,13.28125,0,36,,0,-0.4583333333333333,0.1174628734588623,6.640625
,0,6.640625,0,0.007412910461425781,0.3287699222564697,13.28125,0,36,,0,-0.44,0.1174628734588623,6.640625
,0,6.640625,0,0.01531600952148438,0.3440859317779541,13.28125,0,36,,0,-0.4230769230769231,0.1174628734588623,6.640625
,0,6.640625,0,0.01328015327453613,0.3573660850524902,13.28125,0,36,,0,-0.4074074074074074,0.1174628734588623,6.640625
,0,6.640625,0,0.008613824844360352,0.3659799098968506,13.28125,0,36,,0,-0.3928571428571428,0.1174628734588623,6.640625
,-1,7.421875,0,0.0082550048828125,0.3742349147796631,14.84375,0.78125,37,,0.78125,-0.3793103448275862,0.1257178783416748,7.421875
,0,7.421875,0,0.01441717147827148,0.3886520862579346,14.84375,0,36,,0,-0.4,0.1257178783416748,7.421875
,0,7.421875,0,0.01522994041442871,0.4038820266723633,14.84375,0,36,,0,-0.3870967741935484,0.1257178783416748,7.421875
