abs_avik=calc,avvik=calc,PowerD=calc,joySide=meas,Ts=calc,Tid=meas,joyForward=meas,TvD=calc,Lys=meas,refferanse=calc,TvA=calc,MAEList=calc,IAEList=calc,PowerA=calc
Lys0=38
,0,3.49609375,-0.78125,0.005,0,6.4453125,0,38,38,0,0,0,2.94921875
,0,4.82421875,-0.390625,0.02060508728027344,0.02060508728027344,9.375,1.328125,38,38,1.6015625,0,0,4.55078125
,0,4.82421875,-0.390625,0.0063629150390625,0.02696800231933594,9.375,1.328125,38,38,1.6015625,0,0,4.55078125
,0,4.82421875,-0.390625,0.01602411270141602,0.04299211502075195,9.375,1.328125,38,38,1.6015625,0,0,4.55078125
,0,4.82421875,-0.390625,0.0080718994140625,0.05106401443481445,9.375,1.328125,38,38,1.6015625,0,0,4.55078125
,0,4.82421875,-0.390625,0.01004314422607422,0.06110715866088867,9.375,1.328125,38,38,1.6015625,0,0,4.55078125
,0,5.99609375,-0.390625,0.01502490043640137,0.07613205909729004,11.71875,2.5,38,38,2.7734375,0,0,5.72265625
,0,6.6796875,-0.390625,0.01499795913696289,0.09113001823425293,13.0859375,3.18359375,38,38,3.45703125,0,0,6.40625
,0,6.6796875,-0.390625,0.007218122482299805,0.09834814071655273,13.0859375,3.18359375,38,38,3.45703125,0,0,6.40625
,0,6.6796875,-0.390625,0.007989883422851563,0.1063380241394043,13.0859375,3.18359375,38,38,3.45703125,0,0,6.40625
,0,8.33984375,-0.390625,0.009449958801269531,0.1157879829406738,16.40625,4.84375,38,38,5.1171875,0,0,8.06640625
,0,8.33984375,-0.390625,0.008979082107543945,0.1247670650482178,16.40625,4.84375,38,38,5.1171875,0,0,8.06640625
,0,8.33984375,-0.390625,0.00527191162109375,0.1300389766693115,16.40625,4.84375,38,38,5.1171875,0,0,8.06640625
,0,8.33984375,-0.390625,0.008985996246337891,0.1390249729156494,16.40625,4.84375,38,38,5.1171875,0,0,8.06640625
,0,8.4375,-0.390625,0.007700204849243164,0.1467251777648926,16.6015625,4.94140625,38,38,5.21484375,0,0,8.1640625
,0,8.4375,-0.390625,0.006181001663208008,0.1529061794281006,16.6015625,4.94140625,38,38,5.21484375,0,0,8.1640625
,0,9.4140625,-0.390625,0.008714914321899414,0.16162109375,18.5546875,5.91796875,38,38,6.19140625,0,0,9.140625
,0,9.4140625,-0.390625,0.004939079284667969,0.166560173034668,18.5546875,5.91796875,38,38,6.19140625,0,0,9.140625
,0,11.85546875,-0.390625,0.0142369270324707,0.1807971000671387,23.4375,8.359375,38,38,8.6328125,0,0,11.58203125
,0,12.63671875,-0.390625,0.01378202438354492,0.1945791244506836,25.0,9.140625,38,38,9.4140625,0,0,12.36328125
,0,12.63671875,-0.390625,0.007055044174194336,0.2016341686248779,25.0,9.140625,38,38,9.4140625,0,0,12.36328125
,0,13.80859375,-0.390625,0.007091999053955078,0.208726167678833,27.34375,10.3125,38,38,10.5859375,0,0,13.53515625
,0,13.80859375,-0.390625,0.007272958755493164,0.2159991264343262,27.34375,10.3125,38,38,10.5859375,0,0,13.53515625
,-1,13.90625,-0.390625,0.007036924362182617,0.2230360507965088,27.5390625,10.41015625,39,38,10.68359375,0,0.007036924362182617,13.6328125
,0,14.58984375,-0.390625,0.01052308082580566,0.2335591316223145,28.90625,11.09375,38,38,11.3671875,-0.04166666666666666,0.007036924362182617,14.31640625
,0,15.37109375,-0.390625,0.01024794578552246,0.2438070774078369,30.46875,11.875,38,38,12.1484375,-0.04,0.007036924362182617,15.09765625
,0,15.37109375,-0.390625,0.00311589241027832,0.2469229698181152,30.46875,11.875,38,38,12.1484375,-0.03846153846153846,0.007036924362182617,15.09765625
,0,16.15234375,-0.390625,0.01920223236083984,0.2661252021789551,32.03125,12.65625,38,38,12.9296875,-0.03703703703703703,0.007036924362182617,15.87890625
,0,16.15234375,-0.390625,0.009908914566040039,0.2760341167449951,32.03125,12.65625,38,38,12.9296875,-0.03571428571428571,0.007036924362182617,15.87890625
,0,16.15234375,-0.390625,0.01072287559509277,0.2867569923400879,32.03125,12.65625,38,38,12.9296875,-0.03448275862068966,0.007036924362182617,15.87890625
,0,16.15234375,-0.390625,0.01330208778381348,0.3000590801239014,32.03125,12.65625,38,38,12.9296875,-0.03333333333333333,0.007036924362182617,15.87890625
,0,16.484375,1.171875,0.009047031402587891,0.3091061115264893,33.7890625,12.98828125,38,38,14.35546875,-0.03225806451612903,0.007036924362182617,17.3046875
,0,16.6796875,1.171875,0.01197290420532227,0.3210790157318115,34.1796875,13.18359375,38,38,14.55078125,-0.03125,0.007036924362182617,17.5
,0,16.6796875,1.171875,0.00495600700378418,0.3260350227355957,34.1796875,13.18359375,38,38,14.55078125,-0.0303030303030303,0.007036924362182617,17.5
,0,16.6796875,1.171875,0.009869098663330078,0.3359041213989258,34.1796875,13.18359375,38,38,14.55078125,-0.02941176470588236,0.007036924362182617,17.5
,1,16.40625,3.90625,0.03024697303771973,0.3661510944366455,35.546875,13.45703125,37,38,16.19140625,-0.02857142857142857,0.03728389739990234,19.140625
,1,16.40625,3.90625,0.008905887603759766,0.3750569820404053,35.546875,13.45703125,37,38,16.19140625,0,0.04618978500366211,19.140625
,1,17.3828125,3.90625,0.01982021331787109,0.3948771953582764,37.5,14.43359375,37,38,17.16796875,0.02702702702702703,0.0660099983215332,20.1171875
,1,19.3359375,3.90625,0.02118182182312012,0.4160590171813965,41.40625,16.38671875,37,38,19.12109375,0.05263157894736842,0.08719182014465332,22.0703125
,0,19.3359375,3.90625,0.009057044982910156,0.4251160621643066,41.40625,16.38671875,38,38,19.12109375,0.07692307692307693,0.08719182014465332,22.0703125
,0,19.3359375,3.90625,0.008907079696655273,0.4340231418609619,41.40625,16.38671875,38,38,19.12109375,0.075,0.08719182014465332,22.0703125
,0,19.3359375,3.90625,0.007524967193603516,0.4415481090545654,41.40625,16.38671875,38,38,19.12109375,0.07317073170731707,0.08719182014465332,22.0703125
,0,19.3359375,3.90625,0.004487037658691406,0.4460351467132568,41.40625,16.38671875,38,38,19.12109375,0.07142857142857142,0.08719182014465332,22.0703125
,-1,20.1171875,3.90625,0.0197899341583252,0.465825080871582,42.96875,17.16796875,39,38,19.90234375,0.06976744186046512,0.1069817543029785,22.8515625
,-1,20.1171875,3.90625,0.007592916488647461,0.4734179973602295,42.96875,17.16796875,39,38,19.90234375,0.04545454545454546,0.114574670791626,22.8515625
,-2,20.1171875,3.90625,0.007673025131225586,0.4810910224914551,42.96875,17.16796875,40,38,19.90234375,0.02222222222222222,0.1299207210540771,22.8515625
,-3,18.1640625,3.90625,0.02172994613647461,0.5028209686279297,39.0625,19.12109375,41,38,21.85546875,-0.02173913043478261,0.195110559463501,20.8984375
,-3,18.1640625,3.90625,0.006975173950195313,0.509796142578125,39.0625,19.12109375,41,38,21.85546875,-0.0851063829787234,0.2160360813140869,20.8984375
,-5,18.1640625,3.90625,0.02378296852111816,0.5335791110992432,39.0625,19.12109375,43,38,21.85546875,-0.1458333333333333,0.3349509239196777,20.8984375
,-5,18.1640625,3.90625,0.003125905990600586,0.5367050170898438,39.0625,19.12109375,43,38,21.85546875,-0.2448979591836735,0.3505804538726807,20.8984375
,-5,18.1640625,3.90625,0.006973981857299805,0.5436789989471436,39.0625,19.12109375,43,38,21.85546875,-0.34,0.3854503631591797,20.8984375
,-5,18.1640625,3.90625,0.02203607559204102,0.5657150745391846,39.0625,19.12109375,43,38,21.85546875,-0.4313725490196079,0.4956307411193848,20.8984375
,-5,18.1640625,3.90625,0.01196503639221191,0.5776801109313965,39.0625,19.12109375,43,38,21.85546875,-0.5192307692307693,0.5554559230804443,20.8984375
,-5,17.6171875,5.46875,0.008275032043457031,0.5859551429748535,39.0625,19.66796875,43,38,22.40234375,-0.6037735849056603,0.5968310832977295,21.4453125
,-5,17.6171875,5.46875,0.01052403450012207,0.5964791774749756,39.0625,19.66796875,43,38,22.40234375,-0.6851851851851852,0.6494512557983398,21.4453125
,-5,17.6171875,5.46875,0.007198810577392578,0.6036779880523682,39.0625,19.66796875,43,38,22.40234375,-0.7636363636363637,0.6854453086853027,21.4453125
,-5,16.66015625,8.203125,0.01475620269775391,0.6184341907501221,39.0625,20.625,43,38,23.359375,-0.8392857142857142,0.7592263221740723,22.40234375
,-5,16.66015625,8.203125,0.002574920654296875,0.6210091114044189,39.0625,20.625,43,38,23.359375,-0.912280701754386,0.7721009254455566,22.40234375
,-5,16.66015625,8.203125,0.006617069244384766,0.6276261806488037,39.0625,20.625,43,38,23.359375,-0.9827586206896552,0.8051862716674805,22.40234375
,-5,13.65234375,12.890625,0.01525187492370605,0.6428780555725098,36.328125,23.6328125,43,38,23.6328125,-1.050847457627119,0.8814456462860107,22.67578125
,-5,13.65234375,12.890625,0.007981061935424805,0.6508591175079346,36.328125,23.6328125,43,38,23.6328125,-1.116666666666667,0.9213509559631348,22.67578125
,-5,11.923828125,15.0390625,0.01566100120544434,0.6665201187133789,34.375,25.361328125,43,38,23.857421875,-1.180327868852459,0.9996559619903564,22.451171875
,-5,12.060546875,14.6484375,0.01134586334228516,0.6778659820556641,34.375,25.498046875,43,38,23.994140625,-1.241935483870968,1.056385278701782,22.314453125
,-6,11.923828125,15.0390625,0.02190613746643066,0.6997721195220947,34.375,25.634765625,44,38,24.130859375,-1.301587301587302,1.187822103500366,22.451171875
,-6,11.923828125,15.0390625,0.02068591117858887,0.7204580307006836,34.375,25.634765625,44,38,24.130859375,-1.375,1.311937570571899,22.451171875
,-5,11.923828125,15.0390625,0.009932994842529297,0.7303910255432129,34.375,25.634765625,43,38,24.130859375,-1.446153846153846,1.361602544784546,22.451171875
,-5,11.923828125,15.0390625,0.007842063903808594,0.7382330894470215,34.375,25.634765625,43,38,24.130859375,-1.5,1.400812864303589,22.451171875
,-5,11.923828125,15.0390625,0.02683496475219727,0.7650680541992188,34.375,25.634765625,43,38,24.130859375,-1.552238805970149,1.534987688064575,22.451171875
,-4,11.923828125,15.0390625,0.01109004020690918,0.7761580944061279,34.375,25.634765625,42,38,24.130859375,-1.602941176470588,1.579347848892212,22.451171875
,-4,11.923828125,15.0390625,0.02692604064941406,0.803084135055542,34.375,25.634765625,42,38,24.130859375,-1.63768115942029,1.687052011489868,22.451171875
,-4,11.923828125,15.0390625,0.01495885848999023,0.8180429935455322,34.375,25.634765625,42,38,24.130859375,-1.671428571428572,1.746887445449829,22.451171875
,-4,11.923828125,15.0390625,0.006481170654296875,0.8245241641998291,34.375,25.634765625,42,38,24.130859375,-1.704225352112676,1.772812128067017,22.451171875
,-3,11.923828125,15.0390625,0.03152680397033691,0.856050968170166,34.375,25.634765625,41,38,24.130859375,-1.736111111111111,1.867392539978027,22.451171875
,-3,11.923828125,15.0390625,0.01103019714355469,0.8670811653137207,34.375,25.634765625,41,38,24.130859375,-1.753424657534246,1.900483131408691,22.451171875
,-3,11.923828125,15.0390625,0.01782488822937012,0.8849060535430908,34.375,25.634765625,41,38,24.130859375,-1.77027027027027,1.953957796096802,22.451171875
,-3,11.923828125,15.0390625,0.01529312133789063,0.9001991748809814,34.375,25.634765625,41,38,24.130859375,-1.786666666666667,1.999837160110474,22.451171875
,-3,11.923828125,15.0390625,0.006690025329589844,0.9068892002105713,34.375,25.634765625,41,38,24.130859375,-1.802631578947368,2.019907236099243,22.451171875
,-3,11.923828125,15.0390625,0.009047985076904297,0.9159371852874756,34.375,25.634765625,41,38,24.130859375,-1.818181818181818,2.047051191329956,22.451171875
,-3,11.923828125,15.0390625,0.02310585975646973,0.9390430450439453,34.375,25.634765625,41,38,24.130859375,-1.833333333333333,2.116368770599365,22.451171875
,-3,11.923828125,15.0390625,0.009492158889770508,0.9485352039337158,34.375,25.634765625,41,38,24.130859375,-1.848101265822785,2.144845247268677,22.451171875
,-2,11.923828125,15.0390625,0.03970789909362793,0.9882431030273438,34.375,25.634765625,40,38,24.130859375,-1.8625,2.224261045455933,22.451171875
,-2,11.923828125,15.0390625,0.01019501686096191,0.9984381198883057,34.375,25.634765625,40,38,24.130859375,-1.864197530864198,2.244651079177856,22.451171875
,-2,11.923828125,15.0390625,0.005680084228515625,1.004118204116821,34.375,25.634765625,40,38,24.130859375,-1.865853658536586,2.256011247634888,22.451171875
,-2,13.49609375,10.546875,0.02612996101379395,1.030248165130615,34.375,27.20703125,40,38,25.703125,-1.867469879518072,2.308271169662476,20.87890625
,-2,13.49609375,10.546875,0.006374835968017578,1.036623001098633,34.375,27.20703125,40,38,25.703125,-1.869047619047619,2.321020841598511,20.87890625
,-2,13.49609375,10.546875,0.008427143096923828,1.045050144195557,34.375,27.20703125,40,38,25.703125,-1.870588235294118,2.337875127792358,20.87890625
,-2,16.728515625,8.0078125,0.02297687530517578,1.068027019500732,39.0625,30.439453125,40,38,27.158203125,-1.872093023255814,2.38382887840271,22.333984375
,-2,16.728515625,8.0078125,0.01045513153076172,1.078482151031494,39.0625,30.439453125,40,38,27.158203125,-1.873563218390805,2.404739141464233,22.333984375
,-1,20.1171875,3.90625,0.03909683227539063,1.117578983306885,42.96875,33.828125,39,38,27.67578125,-1.875,2.443835973739624,22.8515625
,-1,20.1171875,3.90625,0.009436130523681641,1.127015113830566,42.96875,33.828125,39,38,27.67578125,-1.865168539325843,2.453272104263306,22.8515625
,-1,20.1171875,3.90625,0.01179790496826172,1.138813018798828,42.96875,33.828125,39,38,27.67578125,-1.855555555555556,2.465070009231567,22.8515625
,-1,21.6796875,3.90625,0.02729010581970215,1.16610312461853,46.09375,35.390625,39,38,29.23828125,-1.846153846153846,2.49236011505127,24.4140625
,-1,21.6796875,3.90625,0.01002192497253418,1.176125049591064,46.09375,35.390625,39,38,29.23828125,-1.83695652173913,2.502382040023804,24.4140625
,-1,21.6796875,3.90625,0.00887608528137207,1.185001134872437,46.09375,35.390625,39,38,29.23828125,-1.827956989247312,2.511258125305176,24.4140625
,-1,23.212890625,1.7578125,0.0179288387298584,1.202929973602295,47.65625,36.923828125,39,38,29.267578125,-1.819148936170213,2.529186964035034,24.443359375
,-1,23.212890625,1.7578125,0.005708217620849609,1.208638191223145,47.65625,36.923828125,39,38,29.267578125,-1.810526315789474,2.534895181655884,24.443359375
,-1,23.212890625,1.7578125,0.02184081077575684,1.230479001998901,47.65625,36.923828125,39,38,29.267578125,-1.802083333333333,2.556735992431641,24.443359375
,-1,23.212890625,1.7578125,0.007061004638671875,1.237540006637573,47.65625,36.923828125,39,38,29.267578125,-1.793814432989691,2.563796997070313,24.443359375
,-1,25.361328125,1.7578125,0.01846218109130859,1.256002187728882,51.953125,39.072265625,39,38,31.416015625,-1.785714285714286,2.582259178161621,26.591796875
,-1,25.947265625,1.7578125,0.009831905364990234,1.265834093093872,53.125,39.658203125,39,38,32.001953125,-1.777777777777778,2.592091083526611,27.177734375
,-1,25.947265625,1.7578125,0.0082550048828125,1.274089097976685,53.125,39.658203125,39,38,32.001953125,-1.77,2.600346088409424,27.177734375
,-1,25.947265625,1.7578125,0.005981922149658203,1.280071020126343,53.125,39.658203125,39,38,32.001953125,-1.762376237623762,2.606328010559082,27.177734375
,-1,25.947265625,1.7578125,0.01738595962524414,1.297456979751587,53.125,39.658203125,39,38,32.001953125,-1.754901960784314,2.623713970184326,27.177734375
,-1,25.947265625,1.7578125,0.007405996322631836,1.304862976074219,53.125,39.658203125,39,38,32.001953125,-1.747572815533981,2.631119966506958,27.177734375
,-1,26.728515625,1.7578125,0.02722620964050293,1.332089185714722,54.6875,40.439453125,39,38,32.783203125,-1.740384615384615,2.658346176147461,27.958984375
,-1,26.728515625,1.7578125,0.008266925811767578,1.340356111526489,54.6875,40.439453125,39,38,32.783203125,-1.733333333333333,2.666613101959229,27.958984375
,-1,26.728515625,1.7578125,0.01783394813537598,1.358190059661865,54.6875,40.439453125,39,38,32.783203125,-1.726415094339623,2.684447050094604,27.958984375
,-1,27.900390625,1.7578125,0.01249909400939941,1.370689153671265,57.03125,41.611328125,39,38,33.955078125,-1.719626168224299,2.696946144104004,29.130859375
,-1,27.900390625,1.7578125,0.009013891220092773,1.379703044891357,57.03125,41.611328125,39,38,33.955078125,-1.712962962962963,2.705960035324097,29.130859375
,-1,26.728515625,1.7578125,0.01849913597106934,1.398202180862427,54.6875,42.783203125,39,38,35.126953125,-1.706422018348624,2.724459171295166,27.958984375
,-1,26.728515625,1.7578125,0.007550954818725586,1.405753135681152,54.6875,42.783203125,39,38,35.126953125,-1.7,2.732010126113892,27.958984375
,-1,26.728515625,1.7578125,0.004827976226806641,1.410581111907959,54.6875,42.783203125,39,38,35.126953125,-1.693693693693694,2.736838102340698,27.958984375
,-1,26.728515625,1.7578125,0.03518390655517578,1.445765018463135,54.6875,42.783203125,39,38,35.126953125,-1.6875,2.772022008895874,27.958984375
,0,26.728515625,1.7578125,0.00315403938293457,1.448919057846069,54.6875,42.783203125,38,38,35.126953125,-1.68141592920354,2.772022008895874,27.958984375
,0,26.728515625,1.7578125,0.009313106536865234,1.458232164382935,54.6875,42.783203125,38,38,35.126953125,-1.666666666666667,2.772022008895874,27.958984375
,0,25.9765625,3.90625,0.02661490440368652,1.484847068786621,54.6875,43.53515625,38,38,35.87890625,-1.652173913043478,2.772022008895874,28.7109375
,0,25.9765625,3.90625,0.01335692405700684,1.498203992843628,54.6875,43.53515625,38,38,35.87890625,-1.637931034482759,2.772022008895874,28.7109375
,0,25.9765625,3.90625,0.01728701591491699,1.515491008758545,54.6875,43.53515625,38,38,35.87890625,-1.623931623931624,2.772022008895874,28.7109375
,0,25.9765625,3.90625,0.02610516548156738,1.541596174240112,54.6875,43.53515625,38,38,35.87890625,-1.610169491525424,2.772022008895874,28.7109375
,0,25.9765625,3.90625,0.005846977233886719,1.547443151473999,54.6875,43.53515625,38,38,35.87890625,-1.596638655462185,2.772022008895874,28.7109375
,0,26.171875,3.90625,0.02160501480102539,1.569048166275024,55.078125,43.73046875,38,38,36.07421875,-1.583333333333333,2.772022008895874,28.90625
,0,26.171875,3.90625,0.008056879043579102,1.577105045318604,55.078125,43.73046875,38,38,36.07421875,-1.570247933884298,2.772022008895874,28.90625
,0,26.171875,3.90625,0.0114140510559082,1.588519096374512,55.078125,43.73046875,38,38,36.07421875,-1.557377049180328,2.772022008895874,28.90625
,0,27.1484375,3.90625,0.02014398574829102,1.608663082122803,57.03125,44.70703125,38,38,37.05078125,-1.544715447154472,2.772022008895874,29.8828125
,0,27.1484375,3.90625,0.005497932434082031,1.614161014556885,57.03125,44.70703125,38,38,37.05078125,-1.532258064516129,2.772022008895874,29.8828125
,-1,26.46484375,3.90625,0.02284908294677734,1.637010097503662,55.6640625,45.390625,39,38,37.734375,-1.52,2.794871091842651,29.19921875
,0,27.28515625,1.5625,0.01196503639221191,1.648975133895874,55.6640625,46.2109375,38,38,38.5546875,-1.515873015873016,2.794871091842651,28.37890625
,-1,27.28515625,1.5625,0.01372790336608887,1.662703037261963,55.6640625,46.2109375,39,38,38.5546875,-1.503937007874016,2.80859899520874,28.37890625
,-1,29.296875,0,0.03328800201416016,1.695991039276123,58.59375,48.22265625,39,38,39.47265625,-1.5,2.8418869972229,29.296875
,-2,29.296875,0,0.009894132614135742,1.705885171890259,58.59375,48.22265625,40,38,39.47265625,-1.496124031007752,2.861675262451172,29.296875
,-2,31.064453125,-0.5859375,0.02013587951660156,1.72602105140686,61.71875,49.990234375,40,38,40.830078125,-1.5,2.901947021484375,30.654296875
,-2,32.5,-4.6875,0.01896405220031738,1.744985103607178,61.71875,51.42578125,40,38,42.265625,-1.50381679389313,2.93987512588501,29.21875
,-1,32.5,-4.6875,0.01580095291137695,1.760786056518555,61.71875,51.42578125,39,38,42.265625,-1.507575757575758,2.955676078796387,29.21875
,-1,32.5,-4.6875,0.007972955703735352,1.76875901222229,61.71875,51.42578125,39,38,42.265625,-1.503759398496241,2.963649034500122,29.21875
,-1,31.1328125,-0.78125,0.0163581371307373,1.785117149353027,61.71875,52.79296875,39,38,43.6328125,-1.5,2.980007171630859,30.5859375
