abs_avik=calc,Referanse=calc,PowerD=calc,avvik=calc,joySide=meas,Ts=calc,Tid=meas,TvD=calc,Lys=meas,MAEList=calc,TvA=calc,joyForward=meas,IAEList=calc,PowerA=calc
Lys0=35
,35,0,0,0,0.005,0,0,35,0,0,0,0,0
,35,0,0,0,0.03296208381652832,0.03296208381652832,0,35,0,0,0,0,0
,35,0,0,0,0.037014007568359375,0.0699760913848877,0,35,0,0,0,0,0
,35,0,0,0,0.029176950454711914,0.09915304183959961,0,35,0,0,0,0,0
,35,0,0,0,0.028113126754760798,0.1272661685943604,0,35,0,0,0,0,0
,35,0,0,0,0.03455686569213859,0.161823034286499,0,35,0,0,0,0,0
,35,0,0,0,0.027328968048095703,0.1891520023345947,0,35,0,0,0,0,0
,35,0,0,0,0.03464198112487801,0.2237939834594727,0,35,0,0,0,0,0
,35,0,0,0,0.0370330810546875,0.2608270645141602,0,35,0,0,0,0,0
,35,0,0,0,0.028414011001586914,0.2892410755157471,0,35,0,0,0,0,0
,35,0,0,0,0.030981063842773382,0.3202221393585205,0,35,0,0,0,0,0
,35,0,0,0,0.026532888412475586,0.3467550277709961,0,35,0,0,0,0,0
,35,0,0,0,0.027049064636230524,0.3738040924072266,0,35,0,0,0,0,0
,35,0,0,0,0.030606985092162975,0.4044110774993896,0,35,0,0,0,0,0
,35,0,0,0,0.03241991996765142,0.436830997467041,0,35,0,0,0,0,0
,35,0,0,0,0.031105041503906306,0.4679360389709473,0,35,0,0,0,0,0
,35,0,0,0,0.026411056518554688,0.494347095489502,0,35,0,0,0,0,0
,35,0,0,0,0.03480005264282221,0.5291471481323242,0,35,0,0,0,0,0
,35,0,0,0,0.028488874435424805,0.557636022567749,0,35,0,0,0,0,0
,35,0,0,0,0.024569988250732422,0.5822060108184814,0,35,0,0,0,0,0
,35,0,0,0,0.03189396858215332,0.6140999794006348,0,35,0,0,0,0,0
,35,0,0,0,0.027378082275390625,0.6414780616760254,0,35,0,0,0,0,0
,35,0,0,0,0.03139805793762207,0.6728761196136475,0,35,0,0,0,0,0
,35,0,0,0,0.03651785850524902,0.7093939781188965,0,35,0,0,0,0,0
,35,0,0,0,0.027483224868774414,0.7368772029876709,0,35,0,0,0,0,0
,35,0,0,0,0.02610182762145996,0.7629790306091309,0,35,0,0,0,0,0
,35,0,-1,0,0.044692039489746094,0.807671070098877,0,36,0,0,0,0.044692039489746094,0
,35,0,0,0,0.03920412063598633,0.8468751907348633,0,35,-0.037037037037037035,0,0,0.044692039489746094,0
,35,0,0,0,0.03427386283874512,0.8811490535736084,0,35,-0.03571428571428571,0,0,0.044692039489746094,0
,35,0,0,0,0.04089212417602539,0.9220411777496338,0,35,-0.034482758620689655,0,0,0.044692039489746094,0
,35,0,0,0,0.04192781448364258,0.9639689922332764,0,35,-0.03333333333333333,0,0,0.044692039489746094,0
,35,0,0,0,0.027927160263061523,0.9918961524963379,0,35,-0.03225806451612903,0,0,0.044692039489746094,0
,35,0,0,0,0.036360979080200195,1.028257131576538,0,35,-0.03125,0,0,0.044692039489746094,0
,35,0,0,0,0.04995799064636186,1.0782151222229,0,35,-0.030303030303030304,0,0,0.044692039489746094,0
,35,0,0,0,0.028179883956910068,1.10639500617981,0,35,-0.029411764705882353,0,0,0.044692039489746094,0
,35,0,0,0,0.03067898750305109,1.137073993682861,0,35,-0.02857142857142857,0,0,0.044692039489746094,0
,35,0,0,0,0.034627199172973855,1.171701192855835,0,35,-0.027777777777777776,0,0,0.044692039489746094,0
,35,0,0,0,0.027709007263184038,1.199410200119019,0,35,-0.02702702702702703,0,0,0.044692039489746094,0
,35,0,0,0,0.03216481208801203,1.231575012207031,0,35,-0.02631578947368421,0,0,0.044692039489746094,0
,35,0,0,0,0.027587175369262917,1.259162187576294,0,35,-0.02564102564102564,0,0,0.044692039489746094,0
,35,0,0,0,0.030027866363524947,1.289190053939819,0,35,-0.025,0,0,0.044692039489746094,0
,35,0,0,0,0.028949975967408115,1.318140029907227,0,35,-0.024390243902439025,0,0,0.044692039489746094,0
,35,0,0,0,0.030964136123657005,1.349104166030884,0,35,-0.023809523809523808,0,0,0.044692039489746094,0
,35,0,0,0,0.027791023254394087,1.376895189285278,0,35,-0.023255813953488372,0,0,0.044692039489746094,0
,35,0,0,0,0.02746987342834495,1.404365062713623,0,35,-0.022727272727272728,0,0,0.044692039489746094,0
,35,0,0,0,0.029817104339600053,1.434182167053223,0,35,-0.022222222222222223,0,0,0.044692039489746094,0
,35,0,0,0,0.032800912857055,1.466983079910278,0,35,-0.021739130434782608,0,0,0.044692039489746094,0
,35,0,0,0,0.02855992317199685,1.495543003082275,0,35,-0.02127659574468085,0,0,0.044692039489746094,0
,35,0.2739757381551833,0,-0.7827878233005237,0.03423213958740301,1.529775142669678,0.2739757381551833,35,-0.020833333333333332,0.2739757381551833,0,0.044692039489746094,-0.2739757381551833
,35,0.2739757381551833,0,-0.7827878233005237,0.037286043167114036,1.567061185836792,0.2739757381551833,35,-0.02040816326530612,0.2739757381551833,0,0.044692039489746094,-0.2739757381551833
,35,0.2739757381551833,0,-0.7827878233005237,0.04185700416564897,1.608918190002441,0.2739757381551833,35,-0.02,0.2739757381551833,0,0.044692039489746094,-0.2739757381551833
,35,0.2739757381551833,0,-0.7827878233005237,0.03230881690979004,1.641227006912231,0.2739757381551833,35,-0.0196078431372549,0.2739757381551833,0,0.044692039489746094,-0.2739757381551833
