Lys=calc,TvA=calc,Avvik_IIR_Derivert=calc,Referanse=calc,HastighetMotorD=meas,MAElist=calc,Avvik=calc,TvD=calc,IAElist=calc,abs_Avvik=calc,VinkelPosMotorA=meas,HastighetMotorA=meas,Avvik_IIR=calc,PowerA=calc,Avstand=meas,VinkelPosMotorD=meas,Power=calc,Ts=calc,PowerD=calc,Tid=meas,Avvik_Integrert=calc
No specified init-data
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.008141994476318304,0,0.2079670429229736,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0032870769500732977,0,0.2112541198730469,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006949901580810491,0,0.2182040214538574,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004884958267211914,0,0.2230889797210693,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0054709911346435824,0,0.2285599708557129,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0065460205078125,0,0.2351059913635254,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006139993667602511,0,0.2412459850311279,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0046191215515137,0,0.2458651065826416,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007111787796020508,0,0.2529768943786621,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006811141967773382,0,0.2597880363464355,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007467985153198298,0,0.2672560214996338,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005170106887817438,0,0.2724261283874512,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004866838455200195,0,0.2772929668426514,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005957126617431585,0,0.283250093460083,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005569934844970703,0,0.2888200283050537,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006815910339355469,0,0.2956359386444092,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005042076110839844,0,0.300678014755249,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007721900939941351,0,0.3083999156951904,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004396200180053711,0,0.3127961158752441,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006290912628173939,0,0.319087028503418,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006711006164550781,0,0.3257980346679688,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0049400329589843195,0,0.3307380676269531,0
