Lys=calc,Referanse=calc,HastighetMotorD=meas,Filtrert_Avvik=calc,Filtrert_Avvik_Derivert=calc,MAElist=calc,Avvik=calc,TvD=calc,IAElist=calc,abs_Avvik=calc,VinkelPosMotorA=meas,HastighetMotorA=meas,TvA=calc,PowerA=calc,Avstand=meas,VinkelPosMotorD=meas,Power=calc,Ts=calc,PowerD=calc,Integrert_Avvik=calc,Tid=meas
No specified init-data
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.005416154861450195,0,0,0.5548520088195801
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.008929967880249023,0,0,0.5637819766998291
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01158499717712402,0,0,0.5753669738769531
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007354974746704102,0,0,0.5827219486236572
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01196098327636719,0,0,0.5946829319000244
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.008031845092773438,0,0,0.6027147769927979
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007346153259277344,0,0,0.6100609302520752
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007050037384033203,0,0,0.6171109676361084
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.0102999210357666,0,0,0.627410888671875
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006485939025878906,0,0,0.6338968276977539
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006999969482421875,0,0,0.6408967971801758
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006875038146972656,0,0,0.6477718353271484
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006432056427001953,0,0,0.6542038917541504
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.008069992065429688,0,0,0.6622738838195801
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007529020309448242,0,0,0.6698029041290283
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.009330034255981445,0,0,0.6791329383850098
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01607084274291992,0,0,0.6952037811279297
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.008223056793212891,0,0,0.7034268379211426
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007704019546508789,0,0,0.7111308574676514
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01024794578552246,0,0,0.7213788032531738
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01011919975280762,0,0,0.7314980030059814
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006450891494750977,0,0,0.7379488945007324
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.00609588623046875,0,0,0.7440447807312012
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006820201873779297,0,0,0.7508649826049805
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006826877593994141,0,0,0.7576918601989746
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006245136260986328,0,0,0.7639369964599609
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01128697395324707,0,0,0.775223970413208
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.00704503059387207,0,0,0.7822690010070801
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.00842595100402832,0,0,0.7906949520111084
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007047891616821289,0,0,0.7977428436279297
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006118059158325195,0,0,0.8038609027862549
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01121187210083008,0,0,0.815072774887085
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01113510131835938,0,0,0.8262078762054443
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006503105163574219,0,0,0.8327109813690186
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007246017456054688,0,0,0.8399569988250732
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.005656957626342773,0,0,0.845613956451416
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007884979248046875,0,0,0.8534989356994629
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007536888122558594,0,0,0.8610358238220215
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006713151931762695,0,0,0.8677489757537842
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.00940394401550293,0,0,0.8771529197692871
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.00637507438659668,0,0,0.8835279941558838
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.008143901824951172,0,0,0.891671895980835
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007452011108398438,0,0,0.8991239070892334
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006429910659790039,0,0,0.9055538177490234
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006728172302246094,0,0,0.9122819900512695
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.009500980377197266,0,0,0.9217829704284668
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.009730815887451172,0,0,0.931513786315918
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006543159484863281,0,0,0.9380569458007813
