Power=calc,Avvik_IIR_Derivert=calc,Referanse=calc,PowerD=calc,Tid=meas,Avstand=meas,Ts=calc,Avvik_Integrert=calc,Avvik_IIR=calc,PowerA=calc,Avvik=calc
No specified init-data
0,0,162,0,0,162,0.005,0,0,0,0
0,0,162,0,0.004743099212646484,162,0.004743099212646484,0,0,0,0
0,0,162,0,0.01131510734558105,162,0.006572008132934565,0,0,0,0
0,0,162,0,0.02059698104858398,162,0.009281873703002931,0,0,0,0
0,0,162,0,0.02278804779052734,162,0.0021910667419433594,0,0,0,0
0,0,162,0,0.03050899505615234,162,0.007720947265625,0,0,0,0
0,0,162,0,0.03787803649902344,162,0.007369041442871097,0,0,0,0
0,0,162,0,0.04803109169006348,162,0.010153055191040039,0,0,0,0
0,0,162,0,0.05262207984924316,162,0.0045909881591796806,0,0,0,0
0,0,162,0,0.06130814552307129,162,0.008686065673828132,0,0,0,0
0,0,162,0,0.06982302665710449,162,0.008514881134033203,0,0,0,0
0,0,162,0,0.07267117500305176,162,0.0028481483459472656,0,0,0,0
0,0,162,0,0.07904195785522461,162,0.0063707828521728516,0,0,0,0
0,0,162,0,0.0831301212310791,162,0.004088163375854492,0,0,0,0
0,0,162,0,0.08910417556762695,162,0.0059740543365478516,0,0,0,0
0,0,162,0,0.0951240062713623,162,0.0060198307037353516,0,0,0,0
0,0,162,0,0.1003739833831787,162,0.005249977111816392,0,0,0,0
0,0,162,0,0.1066370010375977,162,0.006263017654419001,0,0,0,0
0,0,162,0,0.1122591495513916,162,0.005622148513793904,0,0,0,0
0,0,162,0,0.1170401573181152,162,0.004781007766723605,0,0,0,0
0,0,162,0,0.1226780414581299,162,0.00563788414001469,0,0,0,0
0,0,162,0,0.1301021575927734,162,0.007424116134643513,0,0,0,0
0,0,162,0,0.1372361183166504,162,0.007133960723876981,0,0,0,0
0,0,162,0,0.1411051750183105,162,0.0038690567016601007,0,0,0,0
0,0,162,0,0.1470611095428467,162,0.005955934524536216,0,0,0,0
0,0,162,0,0.1538810729980469,162,0.006819963455200195,0,0,0,0
0,0,162,0,0.1584761142730713,162,0.004595041275024386,0,0,0,0
0,0,162,0,0.1641600131988525,162,0.005683898925781222,0,0,0,0
0,0,162,0,0.1704621315002441,162,0.0063021183013916016,0,0,0,0
0,0,162,0,0.1773719787597656,162,0.006909847259521484,0,0,0,0
0,0,162,0,0.1842441558837891,162,0.006872177124023493,0,0,0,0
0,0,162,0,0.1890161037445068,162,0.004771947860717718,0,0,0,0
0,0,162,0,0.1941361427307129,162,0.0051200389862060824,0,0,0,0
0,0,162,0,0.1999349594116211,162,0.005798816680908203,0,0,0,0
0,0,162,0,0.2071690559387207,162,0.007234096527099609,0,0,0,0
0,0,162,0,0.2109031677246094,162,0.0037341117858886996,0,0,0,0
0,0,162,0,0.2169060707092285,162,0.006002902984619085,0,0,0,0
0,0,162,0,0.2248799800872803,162,0.007973909378051813,0,0,0,0
0,0,162,0,0.229449987411499,162,0.0045700073242186945,0,0,0,0
0,0,162,0,0.2370200157165527,162,0.007570028305053711,0,0,0,0
0,0,162,0,0.2405791282653809,162,0.0035591125488281805,0,0,0,0
0,0,162,0,0.2470300197601318,162,0.006450891494750921,0,0,0,0
0,0,162,0,0.2527799606323242,162,0.005749940872192411,0,0,0,0
0,0,162,0,0.2604601383209229,162,0.007680177688598688,0,0,0,0
0,0,162,0,0.2639551162719727,162,0.0034949779510498047,0,0,0,0
0,0,162,0,0.2692680358886719,162,0.005312919616699163,0,0,0,0
0,0,162,0,0.2751860618591309,162,0.00591802597045904,0,0,0,0
0,0,162,0,0.2821640968322754,162,0.006978034973144476,0,0,0,0
0,0,162,0,0.2884941101074219,162,0.006330013275146484,0,0,0,0
0,0,162,0,0.2925121784210205,162,0.004018068313598633,0,0,0,0
0,0,162,0,0.2972350120544434,162,0.004722833633422907,0,0,0,0
0,0,162,0,0.3041830062866211,162,0.006947994232177679,0,0,0,0
0,0,162,0,0.308495044708252,162,0.004312038421630915,0,0,0,0
0,0,162,0,0.3143610954284668,162,0.005866050720214788,0,0,0,0
0,0,162,0,0.3194711208343506,162,0.005110025405883789,0,0,0,0
0,0,162,0,0.3270211219787598,162,0.007550001144409235,0,0,0,0
0,0,162,0,0.3325700759887695,162,0.005548954010009655,0,0,0,0
0,0,162,0,0.3391129970550537,162,0.006542921066284235,0,0,0,0
