Power=calc,Avvik_IIR_Derivert=calc,Referanse=calc,PowerD=calc,Tid=meas,Avstand=meas,Ts=calc,Avvik_Integrert=calc,Avvik_IIR=calc,PowerA=calc,Avvik=calc
No specified init-data
0,0,101,0,0,101,0.005,0,0,0,0
0,0,101,0,0.005327939987182617,101,0.005327939987182617,0,0,0,0
0,0,101,0,0.01204681396484375,101,0.006718873977661133,0,0,0,0
0,0,101,0,0.0190739631652832,101,0.00702714920043945,0,0,0,0
0,0,101,0,0.02469587326049805,101,0.005621910095214851,0,0,0,0
0,0,101,0,0.03406691551208496,101,0.00937104225158691,0,0,0,0
0,0,101,0,0.03980088233947754,101,0.005733966827392578,0,0,0,0
0,0,101,0,0.04590487480163574,101,0.006103992462158203,0,0,0,0
0,0,101,0,0.05083894729614258,101,0.004934072494506836,0,0,0,0
0,0,101,0,0.05579185485839844,101,0.004952907562255859,0,0,0,0
0,0,101,0,0.0611119270324707,101,0.005320072174072266,0,0,0,0
0,0,101,0,0.06796383857727051,101,0.006851911544799805,0,0,0,0
0,0,101,0,0.07355785369873047,101,0.005594015121459961,0,0,0,0
0,0,101,0,0.07997393608093262,101,0.0064160823822021484,0,0,0,0
0,0,101,0,0.08474183082580566,101,0.004767894744873047,0,0,0,0
0,0,101,0,0.09072399139404297,101,0.005982160568237305,0,0,0,0
0,0,101,0,0.09608078002929688,101,0.005356788635253906,0,0,0,0
0,0,101,0,0.1024148464202881,101,0.006334066390991225,0,0,0,0
0,0,101,0,0.1096019744873047,101,0.0071871280670166016,0,0,0,0
0,0,101,0,0.1136739253997803,101,0.0040719509124756,0,0,0,0
0,0,101,0,0.1190719604492188,101,0.005398035049438504,0,0,0,0
0,0,101,0,0.1259958744049072,101,0.006923913955688393,0,0,0,0
0,0,101,0,0.1316118240356445,101,0.005615949630737305,0,0,0,0
0,0,101,0,0.1385509967803955,101,0.006939172744751004,0,0,0,0
0,0,101,0,0.1431930065155029,101,0.004642009735107394,0,0,0,0
0,0,101,0,0.14898681640625,101,0.005793809890747098,0,0,0,0
0,0,101,0,0.1548089981079102,101,0.005822181701660212,0,0,0,0
0,0,101,0,0.1603758335113525,101,0.0055668354034422995,0,0,0,0
0,0,101,0,0.1676409244537354,101,0.007265090942382896,0,0,0,0
0,0,101,0,0.1710789203643799,101,0.0034379959106445035,0,0,0,0
0,0,101,0,0.1787707805633545,101,0.007691860198974582,0,0,0,0
0,0,101,0,0.1855418682098389,101,0.006771087646484403,0,0,0,0
0,0,101,0,0.1914308071136475,101,0.005888938903808594,0,0,0,0
0,0,101,0,0.1959168910980225,101,0.004486083984375,0,0,0,0
0,0,101,0,0.202462911605835,101,0.0065460205078125,0,0,0,0
0,0,101,0,0.2078628540039063,101,0.005399942398071317,0,0,0,0
0,0,101,0,0.2149128913879395,101,0.007050037384033203,0,0,0,0
0,0,101,0,0.2213089466094971,101,0.006396055221557589,0,0,0,0
0,0,101,0,0.2247579097747803,101,0.003448963165283203,0,0,0,0
0,0,101,0,0.2305657863616943,101,0.005807876586914007,0,0,0,0
0,0,101,0,0.2358849048614502,101,0.005319118499755887,0,0,0,0
0,0,101,0,0.2420740127563477,101,0.0061891078948975164,0,0,0,0
0,0,101,0,0.2485158443450928,101,0.006441831588745089,0,0,0,0
0,0,101,0,0.2561068534851074,101,0.007591009140014621,0,0,0,0
0,0,101,0,0.2604598999023438,101,0.004353046417236384,0,0,0,0
0,0,101,0,0.2654318809509277,101,0.004971981048583873,0,0,0,0
0,0,101,0,0.2709648609161377,101,0.0055329799652100164,0,0,0,0
0,0,101,0,0.2780179977416992,101,0.0070531368255615234,0,0,0,0
0,0,101,0,0.2844388484954834,101,0.00642085075378418,0,0,0,0
0,0,101,0,0.2890198230743408,101,0.004580974578857422,0,0,0,0
0,0,101,0,0.295076847076416,101,0.006057024002075195,0,0,0,0
0,0,101,0,0.3011908531188965,101,0.006114006042480469,0,0,0,0
0,0,101,0,0.3079419136047363,101,0.006751060485839788,0,0,0,0
0,0,101,0,0.3210618495941162,101,0.013119935989379938,0,0,0,0
0,0,101,0,0.3234939575195313,101,0.0024321079254150946,0,0,0,0
0,0,101,0,0.3289008140563965,101,0.005406856536865179,0,0,0,0
0,0,101,0,0.3360328674316406,101,0.007132053375244141,0,0,0,0
0,0,101,0,0.3410558700561523,101,0.005023002624511663,0,0,0,0
0,0,101,0,0.3466899394989014,101,0.0056340694427491345,0,0,0,0
0,0,101,0,0.3521277904510498,101,0.005437850952148382,0,0,0,0
0,0,101,0,0.3595378398895264,101,0.007410049438476618,0,0,0,0
0,0,101,0,0.3634638786315918,101,0.003926038742065374,0,0,0,0
0,0,101,0,0.3697109222412109,101,0.006247043609619085,0,0,0,0
0,0,101,0,0.3751850128173828,101,0.0054740905761719305,0,0,0,0
0,0,101,0,0.3815779685974121,101,0.006392955780029297,0,0,0,0
0,0,101,0,0.3889029026031494,101,0.007324934005737305,0,0,0,0
0,0,101,0,0.3950169086456299,101,0.006114006042480469,0,0,0,0
0,0,101,0,0.3993449211120605,101,0.0043280124664306086,0,0,0,0
0,0,101,0,0.4056768417358398,101,0.006331920623779297,0,0,0,0
0,0,101,0,0.4134190082550049,101,0.007742166519165095,0,0,0,0
0,0,101,0,0.4190189838409424,101,0.0055999755859375,0,0,0,0
0,0,101,0,0.4257729053497314,101,0.006753921508789007,0,0,0,0
0,0,101,0,0.4305078983306885,101,0.004734992980957087,0,0,0,0
0,0,101,0,0.4357118606567383,101,0.005203962326049805,0,0,0,0
0,0,101,0,0.4411728382110596,101,0.005460977554321345,0,0,0,0
0,0,101,0,0.4488158226013184,101,0.007642984390258789,0,0,0,0
0,0,101,0,0.4538888931274414,101,0.005073070526122991,0,0,0,0
0,0,101,0,0.4611639976501465,101,0.007275104522705078,0,0,0,0
0,0,101,0,0.4658679962158203,101,0.004703998565673828,0,0,0,0
0,0,101,0,0.4724907875061035,101,0.006622791290283203,0,0,0,0
