Lys=calc,Referanse=calc,HastighetMotorD=meas,Filtrert_Avvik=calc,Filtrert_Avvik_Derivert=calc,MAElist=calc,Avvik=calc,TvD=calc,IAElist=calc,abs_Avvik=calc,VinkelPosMotorA=meas,HastighetMotorA=meas,TvA=calc,PowerA=calc,Avstand=meas,VinkelPosMotorD=meas,Power=calc,Ts=calc,PowerD=calc,Integrert_Avvik=calc,Tid=meas
No specified init-data
,229,3,-0.6556752191999999,0,-0.5652173913043478,-8,,-0.2615275382995605,8,1,3,,20.10543322563171,237,1,-20.10543322563171,0.01028203964233398,20.10543322563171,-0.1054332256317139,0.5838279724121094
,229,7,-0.7225617148159999,0,-0.723404255319149,-4,,-0.2932953834533691,4,1,3,,10.13720107078552,233,1,-10.13720107078552,0.007941961288452148,10.13720107078552,-0.1372010707855225,0.5917699337005615
,229,48,-0.8481104805196798,0,-0.7916666666666666,-7,,-0.4554286003112793,7,2,37,,17.68352484703064,236,3,-17.68352484703064,0.02316188812255859,17.68352484703064,-0.1835248470306396,0.6149318218231201
,229,85,-0.9711482709092863,0,-0.9183673469387756,-7,,-0.5740861892700195,7,3,38,,17.74285364151001,236,4,-17.74285364151001,0.01695108413696289,17.74285364151001,-0.2428536415100098,0.631882905960083
,229,94,-1.1117253054911,0,-1.04,-8,,-0.6898298263549805,8,4,48,,20.29349148273468,237,6,-20.29349148273468,0.01446795463562012,20.29349148273468,-0.2934914827346802,0.6463508605957031
,229,98,-1.369490799381278,0,-1.176470588235294,-14,,-0.8500170707702637,14,4,46,,35.33925926685333,243,7,-35.33925926685333,0.01144194602966309,35.33925926685333,-0.3392592668533325,0.6577928066253662
,229,97,-1.622100983393653,0,-1.423076923076923,-14,,-1.007013320922852,14,5,49,,35.41775739192963,243,8,-35.41775739192963,0.01121401786804199,35.41775739192963,-0.4177573919296265,0.6690068244934082
,229,110,-1.86965896372578,0,-1.660377358490566,-14,,-1.185695648193359,14,6,68,,35.50709855556488,243,10,-35.50709855556488,0.01276302337646484,35.50709855556488,-0.5070985555648804,0.681769847869873
,229,129,-2.112265784451264,0,-1.888888888888889,-14,,-1.325725555419922,14,7,91,,35.57711350917816,243,11,-35.57711350917816,0.01000213623046875,35.57711350917816,-0.5771135091781616,0.6917719841003418
,229,159,-2.310020468762239,0,-2.109090909090909,-12,,-1.490918159484863,12,9,106,,30.67347586154938,241,14,-30.67347586154938,0.01376605033874512,30.67347586154938,-0.6734758615493774,0.7055380344390869
,229,171,-2.503820059386994,0,-2.285714285714286,-12,,-1.619855880737305,12,10,124,,30.7379447221756,241,15,-30.7379447221756,0.01074481010437012,30.7379447221756,-0.7379447221755981,0.716282844543457
,229,176,-2.693743658199254,0,-2.456140350877193,-12,,-1.78642749786377,12,12,138,,30.82123053073883,241,18,-30.82123053073883,0.01388096809387207,30.82123053073883,-0.8212305307388306,0.7301638126373291
,229,178,-2.999868785035268,0,-2.620689655172414,-18,,-2.014668464660645,18,14,141,,45.89731085300445,247,20,-45.89731085300445,0.0126800537109375,45.89731085300445,-0.8973108530044556,0.7428438663482666
,229,178,-3.299871409334563,0,-2.88135593220339,-18,,-2.182969570159912,18,15,143,,45.98146140575409,247,22,-45.98146140575409,0.009350061416625977,45.98146140575409,-0.9814614057540894,0.7521939277648926
,229,185,-3.593873981147872,0,-3.133333333333333,-18,,-2.361278533935547,18,17,148,,46.07061588764191,247,24,-46.07061588764191,0.00990605354309082,46.07061588764191,-1.070615887641907,0.7620999813079834
,229,199,-3.801996501524914,0,-3.377049180327869,-14,,-2.495076656341553,14,18,156,,36.15662896633149,243,26,-36.15662896633149,0.009557008743286133,36.15662896633149,-1.156628966331482,0.7716569900512695
